rezago,acf,pacf
0,1.0,1.0
1,0.2104286528576568,0.21197592236396307
2,0.18741438388628084,0.15209113289425172
3,0.11918683709531241,0.059413602915126484
4,0.07011277994256437,0.012833612515942007
5,0.16330320235684886,0.13619977700383684
6,0.18097356248893878,0.13117751536175407
7,0.2393679196981361,0.17030085944905385
8,0.15498676490402624,0.04530857206193858
9,-0.006155221840537516,-0.13176942430527053
10,0.11264154154824602,0.07636370759361509
11,-0.0036725605370321684,-0.06991858385558375
12,0.06138945278088179,-0.005943694913722023
13,0.13625610317586925,0.07775389008868763
14,0.14072034252683244,0.08834191207311352
15,0.0748209276921141,-0.016083024157116262
16,0.019931031038104115,-0.020851066047600002
17,0.07243222210054587,0.06221447388872734
18,0.10347361978476809,0.08341491598267911
19,0.020708945877316764,-0.05620651897461967
20,0.08620518036955807,-0.016904036661163396
21,0.057557317188841044,0.002942227373602389
22,0.03896464101229053,0.0063724205642635735
23,0.022783935995003165,-0.022119443664204968
24,0.013932781317730878,-0.03713948531974301
25,0.06588236059379153,0.053632622463930225
26,-0.0004086552217009615,-0.03396117291292354
