fecha,importe_nominal,descripcion,CLASIFICACION,registro_id,descripcion_normalizada,es_sintetico,motivo,semana_inicio
2024-04-04,66.0,Crema para batir ambiante 1 lt,AMBIANTE,138,CREMA PARA BATIR AMBIANTE 1 LT,False,,2024-04-01
2024-03-28,123.0,Crema para batir ambiante 1 lt,AMBIANTE,139,CREMA PARA BATIR AMBIANTE 1 LT,False,,2024-03-25
2024-03-28,320.0,Tegral Satin Creme Cake Chocolate,HARINA,140,TEGRAL SATIN CREME CAKE CHOCOLATE,False,,2024-03-25
2024-03-28,54.0,tegral satin creme cake vainilla,HARINA,141,TEGRAL SATIN CREME CAKE VAINILLA,False,,2024-03-25
2024-03-28,126.0,chips blanco alpezi c/500 g,CHOCOLATE,142,CHIPS BLANCO ALPEZI C/500 G,False,,2024-03-25
2024-03-28,175.0,nutella 1 kg,RELLENO,143,NUTELLA 1 KG,False,,2024-03-25
2024-03-28,185.0,confiter semi amargo,CHOCOLATE,144,CONFITER SEMI AMARGO,False,,2024-03-25
2024-03-28,107.0,chips sabor chocolate semiamargo,CHOCOLATE,145,CHIPS SABOR CHOCOLATE SEMIAMARGO,False,,2024-03-25
2024-03-28,16.0,chips amarillo alpezzi c/500 gr,CHOCOLATE,146,CHIPS AMARILLO ALPEZZI C/500 GR,False,,2024-03-25
2024-03-28,48.0,chips rojo alpezzi c/500g,CHOCOLATE,147,CHIPS ROJO ALPEZZI C/500G,False,,2024-03-25
2024-03-28,144.0,tegral Satin Creme cake puratos,HARINA,148,TEGRAL SATIN CREME CAKE PURATOS,False,,2024-03-25
2024-03-28,64.0,Domo mantecada 12 cavidades,EMPAQUE,149,DOMO MANTECADA 12 CAVIDADES,False,,2024-03-25
2024-03-14,57.0,relleno zarzamora fruitfill purat,RELLENO,150,RELLENO ZARZAMORA FRUITFILL PURAT,False,,2024-03-11
2024-03-14,54.0,Tegral Satin Creme Cake Vainilla,HARINA,151,TEGRAL SATIN CREME CAKE VAINILLA,False,,2024-03-11
2024-03-14,32.0,kisses plateados,CHOCOLATE,152,KISSES PLATEADOS,False,,2024-03-11
2024-03-14,15.0,goma aro manzana lucky gummys,DULCERIA,153,GOMA ARO MANZANA LUCKY GUMMYS,False,,2024-03-11
2024-03-14,20.0,oblea arroz,DECORACION,154,OBLEA ARROZ,False,,2024-03-11
2024-03-14,66.0,Crema para batir ambiante 1 lt,AMBIANTE,155,CREMA PARA BATIR AMBIANTE 1 LT,False,,2024-03-11
2024-03-09,107.0,chips sabor chocolate semiamargo,CHOCOLATE,156,CHIPS SABOR CHOCOLATE SEMIAMARGO,False,,2024-03-04
2024-03-09,199.0,mantequilla 1 kg gloria verde,MANTEQUILLA,157,MANTEQUILLA 1 KG GLORIA VERDE,False,,2024-03-04
2024-03-09,22.0,confitier chocolate semiamargo tu,CHOCOLATE,158,CONFITIER CHOCOLATE SEMIAMARGO TU,False,,2024-03-04
2024-03-09,63.0,chips blanco alpezi c/500 g,CHOCOLATE,159,CHIPS BLANCO ALPEZI C/500 G,False,,2024-03-04
2024-03-09,72.0,tegral satin red velet cake puratos,HARINA,160,TEGRAL SATIN RED VELET CAKE PURATOS,False,,2024-03-04
2024-03-09,50.0,royal icing deiman 500g,ROYALICING,161,ROYAL ICING DEIMAN 500G,False,,2024-03-04
2024-03-01,38.0,domo rigido 35-25 inix,EMPAQUE,162,DOMO RIGIDO 35-25 INIX,False,,2024-02-26
2024-03-01,108.0,tegral satin creme cake vainilla,HARINA,163,TEGRAL SATIN CREME CAKE VAINILLA,False,,2024-02-26
2024-03-01,22.0,confitier chocolate semiamargo turin,CHOCOLATE,164,CONFITIER CHOCOLATE SEMIAMARGO TURIN,False,,2024-02-26
2024-03-01,99.0,cremfil cream cheese filling puratos,QUESO CREMA,165,CREMFIL CREAM CHEESE FILLING PURATOS,False,,2024-02-26
2024-03-01,63.0,chips blanco alpezi c/500 g,CHOCOLATE,166,CHIPS BLANCO ALPEZI C/500 G,False,,2024-02-26
2024-02-17,62.0,Relleno durazno puratos,RELLENO,167,RELLENO DURAZNO PURATOS,False,,2024-02-12
2024-02-17,49.0,color morado enco 40g,COLORANTES,168,COLOR MORADO ENCO 40G,False,,2024-02-12
2024-02-17,43.0,color rojo enco 40g,COLORANTES,169,COLOR ROJO ENCO 40G,False,,2024-02-12
2024-02-17,83.0,fondant sabor nata coco blanco,FONDANT,170,FONDANT SABOR NATA COCO BLANCO,False,,2024-02-12
2024-02-17,72.0,Tegral Satin Red Velvet Cake Puratos,HARINA,171,TEGRAL SATIN RED VELVET CAKE PURATOS,False,,2024-02-12
2024-02-16,21.5,oreo vainilla,GALLETAS,172,OREO VAINILLA,False,,2024-02-12
2024-02-16,18.0,harina trigo,HARINA,173,HARINA TRIGO,False,,2024-02-12
2024-02-16,52.0,lechera,LECHERA,174,LECHERA,False,,2024-02-12
2024-02-16,64.5,oreo,GALLETAS,175,OREO,False,,2024-02-12
2024-02-16,60.0,dmonte elote,HORNEADO,176,DMONTE ELOTE,False,,2024-02-12
2024-02-16,142.0,chantilly dulce,CHANTILLY,177,CHANTILLY DULCE,False,,2024-02-12
2024-02-16,24.5,zulka glass,AZUCAR,178,ZULKA GLASS,False,,2024-02-12
2024-02-16,70.0,Queso philadelphia 190g,QUESO CREMA,179,QUESO PHILADELPHIA 190G,False,,2024-02-12
2024-02-16,80.0,huevo calvario,HUEVO,180,HUEVO CALVARIO,False,,2024-02-12
2024-02-15,126.0,chips blanco alpezzi c/ 500 g,CHOCOLATE,181,CHIPS BLANCO ALPEZZI C/ 500 G,False,,2024-02-12
2024-02-15,35.0,caketopper happy birthday tx,DECORACION,182,CAKETOPPER HAPPY BIRTHDAY TX,False,,2024-02-12
2024-02-15,14.0,manga para decorar color verde ,CONSUMIBLES,183,MANGA PARA DECORAR COLOR VERDE,False,,2024-02-12
2024-02-15,83.0,fondant sabor nata coco blanco,FONDANT,184,FONDANT SABOR NATA COCO BLANCO,False,,2024-02-12
2024-02-15,30.0,paquete palitos para paletas,DECORACION,185,PAQUETE PALITOS PARA PALETAS,False,,2024-02-12
2024-02-15,66.0,Crema para batir ambiante 1 lt,AMBIANTE,186,CREMA PARA BATIR AMBIANTE 1 LT,False,,2024-02-12
2024-02-14,71.0,chantilly dulce,CHANTILLY,187,CHANTILLY DULCE,False,,2024-02-12
2024-02-14,65.0,peaje,CASETAS,188,PEAJE,False,,2024-02-12
2024-02-14,65.0,peaje,CASETAS,189,PEAJE,False,,2024-02-12
2024-02-13,66.29,malv c/ chocolate 32 pz cod,DULCERIA,190,MALV C/ CHOCOLATE 32 PZ COD,False,,2024-02-12
2024-02-13,12.9,celofan 9x12 100 pz,EMPAQUE,191,CELOFAN 9X12 100 PZ,False,,2024-02-12
2024-02-12,24.0,base dorada pasteloso 28 cm,BASES,192,BASE DORADA PASTELOSO 28 CM,False,,2024-02-12
2024-02-12,40.0,bolsa de celofan,EMPAQUE,193,BOLSA DE CELOFAN,False,,2024-02-12
2024-02-12,45.0,kit kat 9 pz,CHOCOLATE,194,KIT KAT 9 PZ,False,,2024-02-12
2024-02-12,25.0,hoja de arroz gruesa,DECORACION,195,HOJA DE ARROZ GRUESA,False,,2024-02-12
2024-02-12,205.0,chantilly 5 kg asturias,CHANTILLY,196,CHANTILLY 5 KG ASTURIAS,False,,2024-02-12
2024-02-12,41.0,Harina piña colada espiga mix,HARINA,197,HARINA PINA COLADA ESPIGA MIX,False,,2024-02-12
2024-02-12,64.0,Tegral Satin Creme Cake Chocolate,HARINA,198,TEGRAL SATIN CREME CAKE CHOCOLATE,False,,2024-02-12
2024-02-12,108.0,Tegral Satin Creme Cake Vainilla,HARINA,199,TEGRAL SATIN CREME CAKE VAINILLA,False,,2024-02-12
2024-02-12,66.0,Crema para batir ambiante 1 lt,AMBIANTE,200,CREMA PARA BATIR AMBIANTE 1 LT,False,,2024-02-12
2024-02-12,77.0,au huevo 1,HUEVO,201,AU HUEVO 1,False,,2024-02-12
2024-02-12,25.0,nido f 120,LECHE EN POLVO,202,NIDO F 120,False,,2024-02-12
2024-02-12,22.0,inca mante,MANTECA VEGETAL,203,INCA MANTE,False,,2024-02-12
2024-02-12,60.0,AzucZulka,AZUCAR,204,AZUCZULKA,False,,2024-02-12
2024-02-12,32.0,hue12pzCR,HUEVO,205,HUE12PZCR,False,,2024-02-12
2024-02-12,34.0,nescafe 4 ,DECORACION,206,NESCAFE 4,False,,2024-02-12
2024-02-12,32.0,soyaradir,OTROS,207,SOYARADIR,False,,2024-02-12
2024-02-11,28.0,perla neon y confeti ma baker,DECORACION,208,PERLA NEON Y CONFETI MA BAKER,False,,2024-02-05
2024-02-11,83.0,fondant sabor nata coco blanco,FONDANT,209,FONDANT SABOR NATA COCO BLANCO,False,,2024-02-05
2024-02-10,83.0,fondant sabor nata coco blanco,FONDANT,210,FONDANT SABOR NATA COCO BLANCO,False,,2024-02-05
2024-02-10,55.0,base doble liston negra 36cm,BASES,211,BASE DOBLE LISTON NEGRA 36CM,False,,2024-02-05
2024-02-10,50.0,hoja de arroz gruesa,DECORACION,212,HOJA DE ARROZ GRUESA,False,,2024-02-05
2024-02-06,153.6,inix contenedor mantecadas 25 pz,EMPAQUE,213,INIX CONTENEDOR MANTECADAS 25 PZ,False,,2024-02-05
2024-02-06,116.0,mantequilla 225 g gloria,MANTEQUILLA,214,MANTEQUILLA 225 G GLORIA,False,,2024-02-05
2024-02-06,66.53,marian surtido navideño 340g,GALLETAS,215,MARIAN SURTIDO NAVIDENO 340G,False,,2024-02-05
2024-02-06,64.0,Tegral Satin Creme Cake Chocolate,HARINA,216,TEGRAL SATIN CREME CAKE CHOCOLATE,False,,2024-02-05
2024-02-06,108.0,Tegral Satin Creme Cake Vainilla,HARINA,217,TEGRAL SATIN CREME CAKE VAINILLA,False,,2024-02-05
2024-02-06,16.0,chips blanco alpezzi c/ 500 g,CHOCOLATE,218,CHIPS BLANCO ALPEZZI C/ 500 G,False,,2024-02-05
2024-02-06,60.48,puratos fruitfil fresa 1 kg,RELLENO,219,PURATOS FRUITFIL FRESA 1 KG,False,,2024-02-05
2024-02-06,39.15,alegria capacillo bco dots colores 100pz,CAPACILLOS,220,ALEGRIA CAPACILLO BCO DOTS COLORES 100PZ,False,,2024-02-05
2024-02-06,35.96,fiorentina manga no 12 10 pz,RELLENO,221,FIORENTINA MANGA NO 12 10 PZ,False,,2024-02-05
2024-02-06,83.0,fondant sabor nata coco blanco,FONDANT,222,FONDANT SABOR NATA COCO BLANCO,False,,2024-02-05
2024-02-06,179.32,inix contenedor mantecadas 25 pz,EMPAQUE,223,INIX CONTENEDOR MANTECADAS 25 PZ,False,,2024-02-05
2024-01-24,16.0,chips rosa alpezzi c/500g,CHOCOLATE,224,CHIPS ROSA ALPEZZI C/500G,False,,2024-01-22
2024-01-24,16.0,chips rojo alpezzi c/500g,CHOCOLATE,225,CHIPS ROJO ALPEZZI C/500G,False,,2024-01-22
