fecha,importe_nominal,descripcion,CLASIFICACION,estado_dato,registro_id,descripcion_normalizada,es_sintetico,motivo,semana_inicio
2021-05-10,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,2,ACEITE,False,,2021-05-10
2021-05-24,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,3,ACEITE,False,,2021-05-24
2021-06-07,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,4,ACEITE,False,,2021-06-07
2021-07-05,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,5,ACEITE,False,,2021-07-05
2021-07-12,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,6,ACEITE,False,,2021-07-12
2021-08-02,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,7,ACEITE,False,,2021-08-02
2021-08-09,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,8,ACEITE,False,,2021-08-09
2021-08-16,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,9,ACEITE,False,,2021-08-16
2021-08-30,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,10,ACEITE,False,,2021-08-30
2021-12-06,39.0,ACEITE,ACEITE,observado,11,ACEITE,False,,2021-12-06
2021-12-27,79.0,ACEITE,ACEITE,observado,12,ACEITE,False,,2021-12-27
2022-02-07,32.1,ACEITE,ACEITE,observado,13,ACEITE,False,,2022-02-07
2022-02-28,40.0,ACEITE,ACEITE,observado,14,ACEITE,False,,2022-02-28
2022-03-07,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,15,ACEITE,False,,2022-03-07
2022-03-28,40.0,ACEITE,ACEITE,observado,16,ACEITE,False,,2022-03-28
2022-04-11,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,17,ACEITE,False,,2022-04-11
2022-04-18,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,18,ACEITE,False,,2022-04-18
2022-04-25,40.0,ACEITE,ACEITE,observado,19,ACEITE,False,,2022-04-25
2022-05-02,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,20,ACEITE,False,,2022-05-02
2022-05-16,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,21,ACEITE,False,,2022-05-16
2022-05-23,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,22,ACEITE,False,,2022-05-23
2022-05-30,40.0,ACEITE,ACEITE,observado,23,ACEITE,False,,2022-05-30
2022-06-27,40.0,ACEITE,ACEITE,observado,24,ACEITE,False,,2022-06-27
2022-07-04,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,25,ACEITE,False,,2022-07-04
2022-07-11,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,26,ACEITE,False,,2022-07-11
2022-08-01,40.0,ACEITE,ACEITE,observado,27,ACEITE,False,,2022-08-01
2022-09-19,80.0,ACEITE,ACEITE,observado,28,ACEITE,False,,2022-09-19
2022-09-26,40.0,ACEITE,ACEITE,observado,29,ACEITE,False,,2022-09-26
2022-10-10,6.996153846153846,ACEITE,ACEITE,estimado_promedio_simple,30,ACEITE,False,,2022-10-10
2022-11-28,85.5,ACEITE,ACEITE,observado,31,ACEITE,False,,2022-11-28
