horizonte,modelo,insumo_id,mae_pp,n,excluidas
1,participacion_ewm,AMBIANTE,5.858043960108827,5,0
1,participacion_ewm,CAPACILLOS,1.133164830614199,5,0
1,participacion_ewm,CHANTILLY,7.436073283379992,5,0
1,participacion_ewm,CHOCOLATE,20.354120231639037,5,0
1,participacion_ewm,DECORACION,4.888922717168511,5,0
1,participacion_ewm,DOMO,1.200746440788999,5,0
1,participacion_ewm,EMPAQUE,7.079877594016258,5,0
1,participacion_ewm,FONDANT,5.048995750684311,5,0
1,participacion_ewm,HARINA,10.116400156752928,5,0
1,participacion_ewm,HUEVO,3.0662045723612525,5,0
1,participacion_ewm,OTROS,2.2855692482510466,5,0
1,participacion_ewm,RELLENO,5.816148336654228,5,0
1,participacion_ewm,otros,29.51233885400083,5,0
1,participacion_historica,AMBIANTE,5.973892413741972,5,0
1,participacion_historica,CAPACILLOS,1.7198165392854645,5,0
1,participacion_historica,CHANTILLY,8.380992923814556,5,0
1,participacion_historica,CHOCOLATE,20.586555191227532,5,0
1,participacion_historica,DECORACION,4.6977399635421335,5,0
1,participacion_historica,DOMO,2.0389316297339866,5,0
1,participacion_historica,EMPAQUE,6.406037141970709,5,0
1,participacion_historica,FONDANT,7.433979260155445,5,0
1,participacion_historica,HARINA,10.684705156049768,5,0
1,participacion_historica,HUEVO,4.082206425618092,5,0
1,participacion_historica,OTROS,2.533889144971717,5,0
1,participacion_historica,RELLENO,5.891016626436188,5,0
1,participacion_historica,otros,27.80481230035634,5,0
2,participacion_ewm,AMBIANTE,12.078625479175809,5,0
2,participacion_ewm,CAPACILLOS,1.263188672006981,5,0
2,participacion_ewm,CHANTILLY,4.995122582863804,5,0
2,participacion_ewm,CHOCOLATE,11.949865999718016,5,0
2,participacion_ewm,DECORACION,4.973867729672068,5,0
2,participacion_ewm,DOMO,1.2629116447439412,5,0
2,participacion_ewm,EMPAQUE,4.186496612751698,5,0
2,participacion_ewm,FONDANT,4.601175686831357,5,0
2,participacion_ewm,HARINA,7.012069053587714,5,0
2,participacion_ewm,HUEVO,2.6256325483401914,5,0
2,participacion_ewm,OTROS,1.635655245848735,5,0
2,participacion_ewm,RELLENO,7.379809355117233,5,0
2,participacion_ewm,otros,20.7299575311583,5,0
2,participacion_historica,AMBIANTE,12.133242313649475,5,0
2,participacion_historica,CAPACILLOS,1.3148553488828036,5,0
2,participacion_historica,CHANTILLY,5.009667665527192,5,0
2,participacion_historica,CHOCOLATE,12.302601010116964,5,0
2,participacion_historica,DECORACION,5.769692595670915,5,0
2,participacion_historica,DOMO,1.4228830188492148,5,0
2,participacion_historica,EMPAQUE,3.9749496402041657,5,0
2,participacion_historica,FONDANT,4.2833105615125815,5,0
2,participacion_historica,HARINA,6.6206661571631455,5,0
2,participacion_historica,HUEVO,2.9320434298771243,5,0
2,participacion_historica,OTROS,1.8325590008822707,5,0
2,participacion_historica,RELLENO,6.7389347424033,5,0
2,participacion_historica,otros,14.736906036151794,5,0
3,participacion_ewm,AMBIANTE,2.935130892252288,5,0
3,participacion_ewm,CAPACILLOS,1.4469555552835458,5,0
3,participacion_ewm,CHANTILLY,5.268751910879776,5,0
3,participacion_ewm,CHOCOLATE,9.525517920568898,5,0
3,participacion_ewm,DECORACION,3.590143030327532,5,0
3,participacion_ewm,DOMO,1.2832631997531334,5,0
3,participacion_ewm,EMPAQUE,6.981699768292107,5,0
3,participacion_ewm,FONDANT,8.94445692386503,5,0
3,participacion_ewm,HARINA,7.777439289969779,5,0
3,participacion_ewm,HUEVO,1.9991510732577744,5,0
3,participacion_ewm,OTROS,3.4471492402164925,5,0
3,participacion_ewm,RELLENO,5.0838479698525925,5,0
3,participacion_ewm,otros,26.49010592801801,5,0
3,participacion_historica,AMBIANTE,3.262669103361713,5,0
3,participacion_historica,CAPACILLOS,1.4365324591938513,5,0
3,participacion_historica,CHANTILLY,6.462337782486744,5,0
3,participacion_historica,CHOCOLATE,10.495899460638972,5,0
3,participacion_historica,DECORACION,3.2940981099118303,5,0
3,participacion_historica,DOMO,1.70239337224378,5,0
3,participacion_historica,EMPAQUE,7.029583216453434,5,0
3,participacion_historica,FONDANT,8.081019353166303,5,0
3,participacion_historica,HARINA,7.68498236072418,5,0
3,participacion_historica,HUEVO,3.4666907273499277,5,0
3,participacion_historica,OTROS,3.263484141475628,5,0
3,participacion_historica,RELLENO,4.588481567170632,5,0
3,participacion_historica,otros,23.40616758148795,5,0
4,participacion_ewm,AMBIANTE,6.039414442560553,5,0
4,participacion_ewm,CAPACILLOS,1.2087328831607302,5,0
4,participacion_ewm,CHANTILLY,6.773208518957722,5,0
4,participacion_ewm,CHOCOLATE,18.212948403234364,5,0
4,participacion_ewm,DECORACION,4.79136840857623,5,0
4,participacion_ewm,DOMO,1.2955779503151998,5,0
4,participacion_ewm,EMPAQUE,6.006197230885543,5,0
4,participacion_ewm,FONDANT,5.310843738177292,5,0
4,participacion_ewm,HARINA,8.856695399084549,5,0
4,participacion_ewm,HUEVO,2.7279202451953983,5,0
4,participacion_ewm,OTROS,2.093252486438452,5,0
4,participacion_ewm,RELLENO,5.2949060158729315,5,0
4,participacion_ewm,otros,15.98790145372455,5,0
