semana_inicio,ventas_registradas,captura_observada
2016-12-05,,False
2016-12-12,,False
2016-12-19,,False
2016-12-26,,False
2017-01-02,,False
2017-01-09,,False
2017-01-16,,False
2017-01-23,,False
2017-01-30,,False
2017-02-06,,False
2017-02-13,,False
2017-02-20,,False
2017-02-27,,False
2017-03-06,,False
2017-03-13,,False
2017-03-20,,False
2017-03-27,,False
2017-04-03,,False
2017-04-10,,False
2017-04-17,,False
2017-04-24,,False
2017-05-01,,False
2017-05-08,,False
2017-05-15,,False
2017-05-22,,False
2017-05-29,,False
2017-06-05,,False
2017-06-12,,False
2017-06-19,,False
2017-06-26,,False
2017-07-03,,False
2017-07-10,,False
2017-07-17,,False
2017-07-24,,False
2017-07-31,,False
2017-08-07,,False
2017-08-14,,False
2017-08-21,,False
2017-08-28,,False
2017-09-04,,False
2017-09-11,,False
2017-09-18,,False
2017-09-25,,False
2017-10-02,,False
2017-10-09,,False
2017-10-16,,False
2017-10-23,,False
2017-10-30,,False
2017-11-06,,False
2017-11-13,,False
2017-11-20,,False
2017-11-27,,False
2017-12-04,,False
2017-12-11,,False
2017-12-18,,False
2017-12-25,,False
2018-01-01,,False
2018-01-08,,False
2018-01-15,,False
2018-01-22,,False
2018-01-29,,False
2018-02-05,,False
2018-02-12,,False
2018-02-19,,False
2018-02-26,,False
2018-03-05,,False
2018-03-12,,False
2018-03-19,,False
2018-03-26,,False
2018-04-02,,False
2018-04-09,,False
2018-04-16,,False
2018-04-23,,False
2018-04-30,,False
2018-05-07,,False
2018-05-14,,False
2018-05-21,,False
2018-05-28,,False
2018-06-04,,False
2018-06-11,,False
2018-06-18,,False
2018-06-25,,False
2018-07-02,,False
2018-07-09,,False
2018-07-16,,False
2018-07-23,,False
2018-07-30,,False
2018-08-06,,False
2018-08-13,,False
2018-08-20,,False
2018-08-27,,False
2018-09-03,,False
2018-09-10,,False
2018-09-17,,False
2018-09-24,,False
2018-10-01,,False
2018-10-08,,False
2018-10-15,,False
2018-10-22,,False
2018-10-29,,False
2018-11-05,,False
2018-11-12,,False
2018-11-19,,False
2018-11-26,,False
2018-12-03,,False
2018-12-10,,False
2018-12-17,,False
2018-12-24,,False
2018-12-31,,False
2019-01-07,,False
2019-01-14,,False
2019-01-21,,False
2019-01-28,,False
2019-02-04,,False
2019-02-11,,False
2019-02-18,,False
2019-02-25,,False
2019-03-04,,False
2019-03-11,,False
2019-03-18,,False
2019-03-25,,False
2019-04-01,,False
2019-04-08,,False
2019-04-15,,False
2019-04-22,,False
2019-04-29,,False
2019-05-06,,False
2019-05-13,,False
2019-05-20,,False
2019-05-27,,False
2019-06-03,,False
2019-06-10,,False
2019-06-17,,False
2019-06-24,,False
2019-07-01,,False
2019-07-08,,False
2019-07-15,,False
2019-07-22,,False
2019-07-29,,False
2019-08-05,,False
2019-08-12,,False
2019-08-19,,False
2019-08-26,,False
2019-09-02,,False
2019-09-09,,False
2019-09-16,,False
2019-09-23,,False
2019-09-30,,False
2019-10-07,,False
2019-10-14,,False
2019-10-21,,False
2019-10-28,,False
2019-11-04,,False
2019-11-11,,False
2019-11-18,,False
2019-11-25,,False
2019-12-02,,False
2019-12-09,,False
2019-12-16,,False
2019-12-23,,False
2019-12-30,,False
2020-01-06,,False
2020-01-13,,False
2020-01-20,,False
2020-01-27,,False
2020-02-03,,False
2020-02-10,,False
2020-02-17,,False
2020-02-24,,False
2020-03-02,,False
2020-03-09,,False
2020-03-16,,False
2020-03-23,,False
2020-03-30,,False
2020-04-06,,False
2020-04-13,,False
2020-04-20,,False
2020-04-27,,False
2020-05-04,,False
2020-05-11,,False
2020-05-18,,False
2020-05-25,,False
2020-06-01,,False
2020-06-08,,False
2020-06-15,,False
2020-06-22,,False
2020-06-29,,False
2020-07-06,,False
2020-07-13,,False
2020-07-20,,False
2020-07-27,,False
2020-08-03,,False
2020-08-10,,False
2020-08-17,,False
2020-08-24,,False
2020-08-31,,False
2020-09-07,,False
2020-09-14,,False
2020-09-21,,False
2020-09-28,,False
2020-10-05,,False
2020-10-12,,False
2020-10-19,,False
2020-10-26,,False
2020-11-02,,False
2020-11-09,,False
2020-11-16,210.0,True
2020-11-23,280.0,True
2020-11-30,180.0,True
2020-12-07,312.0,True
2020-12-14,1200.0,True
2020-12-21,990.0,True
2020-12-28,990.0,True
2021-01-04,990.0,True
2021-01-11,780.0,True
2021-01-18,505.0,True
2021-01-25,505.0,True
2021-02-01,230.0,True
2021-02-08,320.0,True
2021-02-15,640.0,True
2021-02-22,570.0,True
2021-03-01,200.0,True
2021-03-08,350.0,True
2021-03-15,400.0,True
2021-03-22,400.0,True
2021-03-29,450.0,True
2021-04-05,260.0,True
2021-04-12,890.0,True
2021-04-19,520.0,True
2021-04-26,605.0,True
2021-05-03,690.0,True
2021-05-10,230.0,True
2021-05-17,440.0,True
2021-05-24,690.0,True
2021-05-31,140.0,True
2021-06-07,230.0,True
2021-06-14,1160.0,True
2021-06-21,1190.0,True
2021-06-28,700.0,True
2021-07-05,230.0,True
2021-07-12,3050.0,True
2021-07-19,230.0,True
2021-07-26,1050.0,True
2021-08-02,925.0,True
2021-08-09,925.0,True
2021-08-16,800.0,True
2021-08-23,985.0,True
2021-08-30,1895.0,True
2021-09-06,2805.0,True
2021-09-13,1350.0,True
2021-09-20,930.0,True
2021-09-27,1800.0,True
2021-10-04,530.0,True
2021-10-11,410.0,True
2021-10-18,630.0,True
2021-10-25,890.0,True
2021-11-01,340.0,True
2021-11-08,1535.0,True
2021-11-15,2740.0,True
2021-11-22,1710.0,True
2021-11-29,3320.0,True
2021-12-06,3300.0,True
2021-12-13,420.0,True
2021-12-20,710.0,True
2021-12-27,1690.0,True
2022-01-03,2790.0,True
2022-01-10,640.0,True
2022-01-17,510.0,True
2022-01-24,700.0,True
2022-01-31,460.0,True
2022-02-07,4300.0,True
2022-02-14,260.0,True
2022-02-21,370.0,True
2022-02-28,890.0,True
2022-03-07,950.0,True
2022-03-14,1010.0,True
2022-03-21,925.0,True
2022-03-28,840.0,True
2022-04-04,500.0,True
2022-04-11,915.0,True
2022-04-18,1330.0,True
2022-04-25,1170.0,True
2022-05-02,860.0,True
2022-05-09,3685.0,True
2022-05-16,500.0,True
2022-05-23,1295.0,True
2022-05-30,2090.0,True
2022-06-06,340.0,True
2022-06-13,1660.0,True
2022-06-20,430.0,True
2022-06-27,1330.0,True
2022-07-04,1415.0,True
2022-07-11,1500.0,True
2022-07-18,1690.0,True
2022-07-25,1800.0,True
2022-08-01,1180.0,True
2022-08-08,1180.0,True
2022-08-15,560.0,True
2022-08-22,310.0,True
2022-08-29,1080.0,True
2022-09-05,1110.0,True
2022-09-12,685.0,True
2022-09-19,685.0,True
2022-09-26,685.0,True
2022-10-03,260.0,True
2022-10-10,3815.5,True
2022-10-17,7371.0,True
2022-10-24,580.0,True
2022-10-31,1890.0,True
2022-11-07,3200.0,True
2022-11-14,2320.0,True
2022-11-21,1440.0,True
2022-11-28,5300.0,True
2022-12-05,400.0,True
2022-12-12,4330.0,True
2022-12-19,2560.0,True
2022-12-26,2020.0,True
2023-01-02,590.0,True
2023-01-09,1450.0,True
2023-01-16,2310.0,True
2023-01-23,4841.0,True
2023-01-30,400.0,True
2023-02-06,2040.0,True
2023-02-13,2680.0,True
2023-02-20,3305.0,True
2023-02-27,3930.0,True
2023-03-06,1220.0,True
2023-03-13,2220.0,True
2023-03-20,4900.0,True
2023-03-27,230.0,True
2023-04-03,2580.0,True
2023-04-10,250.0,True
2023-04-17,730.0,True
2023-04-24,4110.0,True
2023-05-01,1495.0,True
2023-05-08,720.0,True
2023-05-15,990.0,True
2023-05-22,5330.0,True
2023-05-29,730.0,True
2023-06-05,440.0,True
2023-06-12,690.0,True
2023-06-19,230.0,True
2023-06-26,2240.0,True
2023-07-03,1760.0,True
2023-07-10,930.0,True
2023-07-17,1080.0,True
2023-07-24,3515.0,True
2023-07-31,7070.0,True
2023-08-07,1920.0,True
2023-08-14,2140.0,True
2023-08-21,1910.0,True
2023-08-28,7530.0,True
2023-09-04,3280.0,True
2023-09-11,590.0,True
2023-09-18,3660.0,True
2023-09-25,400.0,True
2023-10-02,1894.0,True
2023-10-09,3260.0,True
2023-10-16,1515.0,True
2023-10-23,490.0,True
2023-10-30,7620.0,True
