semana_inicio,HARINA,CHOCOLATE,FONDANT,EMPAQUE,CHANTILLY,RELLENO,DECORACION,AMBIANTE,HUEVO,CAPACILLOS,BASES
2018-01-29,,,,,,,,,,,
2018-02-05,,,,,,,,,,,
2018-02-12,,,,,,,,,,,
2018-02-19,,,,,,,,,,,
2018-02-26,,,,,,,,,,,
2018-03-05,,,,,,,,,,,
2018-03-12,,,,,,,,,,,
2018-03-19,,,,,,,,,,,
2018-03-26,,,,,,,,,,,
2018-04-02,,,,,,,,,,,
2018-04-09,,,,,,,,,,,
2018-04-16,,,,,,,,,,,
2018-04-23,,,,,,,,,,,
2018-04-30,,,,,,,,,,,
2018-05-07,,,,,,,,,,,
2018-05-14,,,,,,,,,,,
2018-05-21,,,,,,,,,,,
2018-05-28,,,,,,,,,,,
2018-06-04,,,,,,,,,,,
2018-06-11,,,,,,,,,,,
2018-06-18,,,,,,,,,,,
2018-06-25,,,,,,,,,,,
2018-07-02,,,,,,,,,,,
2018-07-09,,,,,,,,,,,
2018-07-16,,,,,,,,,,,
2018-07-23,,,,,,,,,,,
2018-07-30,,,,,,,,,,,
2018-08-06,,,,,,,,,,,
2018-08-13,,,,,,,,,,,
2018-08-20,,,,,,,,,,,
2018-08-27,,,,,,,,,,,
2018-09-03,,,,,,,,,,,
2018-09-10,,,,,,,,,,,
2018-09-17,,,,,,,,,,,
2018-09-24,,,,,,,,,,,
2018-10-01,,,,,,,,,,,
2018-10-08,,,,,,,,,,,
2018-10-15,,,,,,,,,,,
2018-10-22,,,,,,,,,,,
2018-10-29,,,,,,,,,,,
2018-11-05,,,,,,,,,,,
2018-11-12,,,,,,,,,,,
2018-11-19,,,,,,,,,,,
2018-11-26,,,,,,,,,,,
2018-12-03,,,,,,,,,,,
2018-12-10,,,,,,,,,,,
2018-12-17,,,,,,,,,,,
2018-12-24,,,,,,,,,,,
2018-12-31,,,,,,,,,,,
2019-01-07,,,,,,,,,,,
2019-01-14,,,,,,,,,,,
2019-01-21,0.35910478128179046,0.06002034587995931,0.0,0.12817904374364192,0.323499491353001,0.0,0.07121057985757884,0.0,0.0,0.0,0.0
2019-01-28,,,,,,,,,,,
2019-02-04,,,,,,,,,,,
2019-02-11,,,,,,,,,,,
2019-02-18,,,,,,,,,,,
2019-02-25,,,,,,,,,,,
2019-03-04,,,,,,,,,,,
2019-03-11,,,,,,,,,,,
2019-03-18,,,,,,,,,,,
2019-03-25,,,,,,,,,,,
2019-04-01,,,,,,,,,,,
2019-04-08,,,,,,,,,,,
2019-04-15,,,,,,,,,,,
2019-04-22,,,,,,,,,,,
2019-04-29,,,,,,,,,,,
2019-05-06,,,,,,,,,,,
2019-05-13,,,,,,,,,,,
2019-05-20,,,,,,,,,,,
2019-05-27,,,,,,,,,,,
2019-06-03,,,,,,,,,,,
2019-06-10,,,,,,,,,,,
2019-06-17,0.3088235294117647,0.028594771241830064,0.0,0.06535947712418301,0.2679738562091503,0.23366013071895425,0.04656862745098039,0.0,0.0,0.0,0.0
2019-06-24,,,,,,,,,,,
2019-07-01,,,,,,,,,,,
2019-07-08,,,,,,,,,,,
2019-07-15,,,,,,,,,,,
2019-07-22,,,,,,,,,,,
2019-07-29,,,,,,,,,,,
2019-08-05,,,,,,,,,,,
2019-08-12,,,,,,,,,,,
2019-08-19,,,,,,,,,,,
2019-08-26,,,,,,,,,,,
2019-09-02,,,,,,,,,,,
2019-09-09,0.38495092693565974,0.03816793893129771,0.20719738276990185,0.11123227917121047,0.17011995637949837,0.0,0.0,0.0,0.0,0.05452562704471101,0.014176663031624863
2019-09-16,,,,,,,,,,,
2019-09-23,0.4442953020134228,0.0,0.0,0.13691275167785236,0.0,0.13288590604026845,0.040268456375838924,0.0,0.0,0.14496644295302014,0.022818791946308724
2019-09-30,,,,,,,,,,,
2019-10-07,,,,,,,,,,,
2019-10-14,,,,,,,,,,,
2019-10-21,,,,,,,,,,,
2019-10-28,,,,,,,,,,,
2019-11-04,,,,,,,,,,,
2019-11-11,,,,,,,,,,,
2019-11-18,,,,,,,,,,,
2019-11-25,,,,,,,,,,,
2019-12-02,,,,,,,,,,,
2019-12-09,,,,,,,,,,,
2019-12-16,,,,,,,,,,,
2019-12-23,,,,,,,,,,,
2019-12-30,,,,,,,,,,,
2020-01-06,,,,,,,,,,,
2020-01-13,,,,,,,,,,,
2020-01-20,,,,,,,,,,,
2020-01-27,,,,,,,,,,,
2020-02-03,,,,,,,,,,,
2020-02-10,,,,,,,,,,,
2020-02-17,,,,,,,,,,,
2020-02-24,,,,,,,,,,,
2020-03-02,,,,,,,,,,,
2020-03-09,,,,,,,,,,,
2020-03-16,,,,,,,,,,,
2020-03-23,,,,,,,,,,,
2020-03-30,,,,,,,,,,,
2020-04-06,,,,,,,,,,,
2020-04-13,0.0,0.0,0.3695652173913043,0.0,0.0,0.38735177865612647,0.0,0.0,0.0,0.0,0.21541501976284586
2020-04-20,,,,,,,,,,,
2020-04-27,,,,,,,,,,,
2020-05-04,,,,,,,,,,,
2020-05-11,,,,,,,,,,,
2020-05-18,0.325,0.0,0.275,0.07,0.23,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,,,,,,,,,,,
2020-06-01,,,,,,,,,,,
2020-06-08,0.2851063829787234,0.1829787234042553,0.0,0.0,0.0,0.0,0.0,0.425531914893617,0.0,0.10638297872340426,0.0
2020-06-15,,,,,,,,,,,
2020-06-22,,,,,,,,,,,
2020-06-29,,,,,,,,,,,
2020-07-06,,,,,,,,,,,
2020-07-13,,,,,,,,,,,
2020-07-20,0.0,0.0,0.8715596330275229,0.12844036697247707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-27,,,,,,,,,,,
2020-08-03,,,,,,,,,,,
2020-08-10,,,,,,,,,,,
2020-08-17,,,,,,,,,,,
2020-08-24,,,,,,,,,,,
2020-08-31,,,,,,,,,,,
2020-09-07,,,,,,,,,,,
2020-09-14,,,,,,,,,,,
2020-09-21,0.0,0.0,0.5498281786941581,0.0,0.0,0.0,0.30927835051546393,0.0,0.0,0.0,0.07216494845360824
2020-09-28,,,,,,,,,,,
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.3700787401574803,0.0,0.0,0.0,0.0,0.6299212598425197
2020-10-12,0.25583482944344704,0.0,0.0,0.0,0.20646319569120286,0.18402154398563733,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.3611111111111111,0.0,0.0,0.0,0.6388888888888888,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.42783505154639173,0.08762886597938144,0.20103092783505155,0.0,0.23195876288659795,0.0,0.0,0.0,0.0
2020-11-02,,,,,,,,,,,
2020-11-09,,,,,,,,,,,
2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-11-23,,,,,,,,,,,
2020-11-30,,,,,,,,,,,
2020-12-07,0.10989010989010989,0.054945054945054944,0.0,0.13626373626373625,0.17142857142857143,0.2857142857142857,0.0,0.0,0.0,0.1978021978021978,0.0
2020-12-14,0.06587615283267458,0.0,0.21870882740447958,0.2134387351778656,0.20553359683794467,0.10540184453227931,0.0461133069828722,0.0,0.0,0.11857707509881422,0.0
2020-12-21,,,,,,,,,,,
2020-12-28,0.39615384615384613,0.19038461538461537,0.0,0.0,0.16153846153846155,0.17692307692307693,0.0,0.0,0.0,0.0,0.0
2021-01-04,,,,,,,,,,,
2021-01-11,,,,,,,,,,,
2021-01-18,,,,,,,,,,,
2021-01-25,,,,,,,,,,,
2021-02-01,,,,,,,,,,,
2021-02-08,,,,,,,,,,,
2021-02-15,0.0,0.0,0.3878504672897196,0.07009345794392523,0.1822429906542056,0.0,0.0,0.0,0.0,0.2102803738317757,0.102803738317757
2021-02-22,,,,,,,,,,,
2021-03-01,,,,,,,,,,,
2021-03-08,0.29069767441860467,0.2558139534883721,0.0,0.0,0.45348837209302323,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-15,,,,,,,,,,,
2021-03-22,,,,,,,,,,,
2021-03-29,,,,,,,,,,,
2021-04-05,,,,,,,,,,,
2021-04-12,,,,,,,,,,,
2021-04-19,,,,,,,,,,,
2021-04-26,,,,,,,,,,,
2021-05-03,0.0,0.0,0.0,0.48,0.52,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-10,,,,,,,,,,,
2021-05-17,0.0,0.0,0.7033898305084746,0.2966101694915254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-24,,,,,,,,,,,
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0
2021-06-07,,,,,,,,,,,
2021-06-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-21,0.0,0.0,0.7685185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23148148148148148
2021-06-28,0.30985915492957744,0.0,0.0,0.0,0.431924882629108,0.0,0.0,0.0,0.0,0.25821596244131456,0.0
2021-07-05,,,,,,,,,,,
2021-07-12,,,,,,,,,,,
2021-07-19,0.0797872340425532,0.044326241134751775,0.22074468085106383,0.15070921985815602,0.11702127659574468,0.04875886524822695,0.19326241134751773,0.044326241134751775,0.0,0.06648936170212766,0.022163120567375887
2021-07-26,0.07036535859269283,0.05412719891745602,0.11231393775372124,0.05412719891745602,0.2178619756427605,0.3004059539918809,0.08795669824086604,0.0,0.0,0.07442489851150202,0.028416779431664412
2021-08-02,,,,,,,,,,,
2021-08-09,,,,,,,,,,,
2021-08-16,,,,,,,,,,,
2021-08-23,0.11744386873920552,0.0,0.14335060449050085,0.18998272884283246,0.07599309153713299,0.14335060449050085,0.25906735751295334,0.0,0.0,0.0,0.03626943005181347
2021-08-30,,,,,,,,,,,
2021-09-06,0.0,0.5945945945945946,0.0,0.16216216216216217,0.0,0.0,0.24324324324324326,0.0,0.0,0.0,0.0
2021-09-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-20,0.08937437934458789,0.0,0.16484607745779542,0.0,0.0,0.09731876861966236,0.35749751737835156,0.0,0.0,0.20854021847070506,0.06256206554121152
2021-09-27,0.13070692194403533,0.0,0.0,0.21723122238586154,0.2963917525773196,0.22827687776141384,0.0,0.0,0.0,0.0,0.0
2021-10-04,0.42735042735042733,0.0,0.0,0.0,0.0,0.2564102564102564,0.10256410256410256,0.21367521367521367,0.0,0.0,0.0
2021-10-11,0.3383458646616541,0.0,0.0,0.0,0.6616541353383458,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-18,0.0,0.0,0.0,0.1702127659574468,0.46808510638297873,0.3617021276595745,0.0,0.0,0.0,0.0,0.0
2021-10-25,0.20905923344947736,0.0,0.0,0.09581881533101046,0.24390243902439024,0.23519163763066203,0.0,0.0,0.0627177700348432,0.13588850174216027,0.0
2021-11-01,0.0,0.24293785310734464,0.0,0.1694915254237288,0.5875706214689266,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-08,0.3795620437956204,0.0,0.0,0.26277372262773724,0.0,0.31630170316301703,0.0,0.0,0.0,0.0,0.0413625304136253
2021-11-15,0.257479601087942,0.0,0.30099728014505894,0.06346328195829556,0.0,0.0815956482320943,0.0,0.09066183136899365,0.0,0.0815956482320943,0.07343608340888486
2021-11-22,0.0,0.2987012987012987,0.3593073593073593,0.0,0.0,0.1471861471861472,0.19480519480519481,0.0,0.0,0.0,0.0
2021-11-29,0.18397915988277436,0.1172256593943341,0.0,0.0325626831650928,0.05644198415282753,0.16227070443937916,0.13676326929338978,0.0,0.0,0.040160642570281124,0.0
2021-12-06,0.1199261992619926,0.0377390137537739,0.20882254277088225,0.15263334451526334,0.17611539751761152,0.0699429721569943,0.11321704126132169,0.0,0.022643408252264338,0.0,0.015934250251593424
2021-12-13,0.18072289156626506,0.06884681583476764,0.0,0.16179001721170397,0.17900172117039587,0.14457831325301204,0.1549053356282272,0.09122203098106713,0.0,0.0,0.0189328743545611
2021-12-20,0.0,0.1237785016286645,0.30944625407166126,0.11074918566775244,0.1758957654723127,0.0,0.1465798045602606,0.0,0.0,0.06514657980456026,0.06840390879478828
2021-12-27,0.10959111178293401,0.0,0.0,0.12092812334668582,0.20406620814753232,0.11684679918373517,0.0,0.0,0.20576675988209508,0.09353034540095231,0.0
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.48828125,0.0,0.0,0.3515625,0.08203125
2022-01-10,0.0,0.0336,0.17706666666666668,0.04533333333333334,0.14613333333333334,0.0672,0.1968,0.0,0.0,0.0416,0.0112
2022-01-17,0.0,0.19698107287335967,0.0,0.17940988603382002,0.0,0.044488272801640576,0.5201317839012964,0.0,0.0,0.0,0.0
2022-01-24,0.0,0.0,0.0,0.16580310880829016,0.3316062176165803,0.3393782383419689,0.0,0.0,0.0,0.0,0.015544041450777202
2022-01-31,0.0,0.06519967400162999,0.0,0.26487367563162184,0.0,0.0,0.25468622656886714,0.0,0.32599837000814996,0.0,0.0
2022-02-07,0.06147078727723889,0.0,0.1071509136025265,0.1268892397924656,0.22332506203473945,0.035528987141890365,0.07895330475975637,0.0,0.0,0.0,0.0
2022-02-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-02-21,0.3485342019543974,0.3355048859934853,0.0,0.0,0.21498371335504887,0.0,0.048859934853420196,0.0,0.0,0.0,0.0
2022-02-28,0.09073359073359073,0.09073359073359073,0.3204633204633205,0.0,0.1274131274131274,0.10038610038610038,0.0,0.0,0.1525096525096525,0.0,0.04054054054054054
2022-03-07,,,,,,,,,,,
2022-03-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.1795275590551181,0.0,0.2614173228346457,0.0,0.2078740157480315,0.09921259842519685,0.14173228346456693,0.0,0.0,0.0,0.11023622047244094
2022-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
2022-04-04,0.0,0.08256880733944955,0.6091743119266055,0.045871559633027525,0.0,0.0,0.0,0.11467889908256881,0.0,0.0,0.07431192660550459
2022-04-11,,,,,,,,,,,
2022-04-18,,,,,,,,,,,
2022-04-25,0.16051844466600199,0.06281156530408774,0.08275174476570289,0.0,0.06580259222333001,0.11814556331006978,0.0,0.06281156530408774,0.07976071784646062,0.0,0.03489531405782652
2022-05-02,,,,,,,,,,,
2022-05-09,0.09873417721518987,0.053164556962025315,0.21012658227848102,0.06329113924050633,0.06835443037974684,0.16265822784810127,0.05569620253164557,0.07974683544303797,0.0,0.0,0.04113924050632911
2022-05-16,,,,,,,,,,,
2022-05-23,,,,,,,,,,,
2022-05-30,0.2705479452054795,0.0,0.0,0.09503424657534247,0.18493150684931506,0.1113013698630137,0.029965753424657533,0.0,0.14554794520547945,0.0,0.0
2022-06-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13,0.0,0.0,0.680327868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.319672131147541,0.0
2022-06-20,0.0,0.15217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8478260869565217,0.0
2022-06-27,0.0,0.04102395799146702,0.272399081063341,0.05415162454873646,0.3249097472924188,0.0,0.034460124712832295,0.0,0.13127666557269446,0.0,0.037742041352149654
2022-07-04,,,,,,,,,,,
2022-07-11,,,,,,,,,,,
2022-07-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-07-25,0.14370610480821178,0.046461372231226365,0.17936250675310642,0.06699081577525662,0.20313344138303618,0.20745542949756887,0.0,0.0,0.0,0.0,0.05672609400324149
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
2022-08-08,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-15,0.2549019607843137,0.10980392156862745,0.0,0.0,0.5176470588235295,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-22,0.0,0.0,0.8117359413202934,0.07090464547677261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-29,0.15223440825012277,0.027827795056474057,0.0,0.10148960550008185,0.09985267637911278,0.08512031429039123,0.0,0.10312653462105091,0.0,0.12440661319364872,0.0
2022-09-05,0.0,0.0,0.3229571984435798,0.0,0.23735408560311283,0.2529182879377432,0.08560311284046693,0.0,0.0,0.0,0.10116731517509728
2022-09-12,0.2529182879377432,0.11673151750972763,0.3229571984435798,0.0,0.0,0.2529182879377432,0.0,0.0,0.0,0.0,0.054474708171206226
2022-09-19,0.13704206241519673,0.08955223880597014,0.0,0.08683853459972862,0.2618724559023066,0.06716417910447761,0.04613297150610583,0.0,0.05834464043419267,0.07598371777476255,0.0
2022-09-26,0.03257328990228013,0.14006514657980457,0.13843648208469056,0.0,0.0993485342019544,0.0,0.0732899022801303,0.0,0.13517915309446255,0.0,0.018729641693811076
2022-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-10-10,,,,,,,,,,,
2022-10-17,0.29783549783549784,0.19047619047619047,0.0,0.08658008658008658,0.0,0.11255411255411256,0.11255411255411256,0.0,0.0,0.14025974025974025,0.05974025974025974
2022-10-24,0.0,0.0,0.0,0.15778251599147122,0.0,0.0,0.19189765458422176,0.26865671641791045,0.18336886993603413,0.0,0.04904051172707889
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-11-07,0.15394824153948242,0.10484406104844061,0.22030524220305242,0.0,0.15262110152621103,0.17518248175182483,0.16589250165892502,0.0,0.0,0.0,0.027206370272063702
2022-11-14,0.0,0.08921933085501858,0.0,0.0,0.0,0.0,0.3345724907063197,0.4684014869888476,0.0,0.0,0.10780669144981413
2022-11-21,0.0,0.0,0.35095137420718814,0.0,0.25792811839323465,0.0,0.39112050739957716,0.0,0.0,0.0,0.0
2022-11-28,0.021852237252861603,0.1404786680541103,0.17273673257023933,0.04994797086368366,0.06347554630593132,0.045785639958376693,0.11238293444328824,0.0,0.09885535900104059,0.07075962539021852,0.046826222684703434
2022-12-05,0.22972972972972974,0.0,0.0,0.0,0.2747747747747748,0.0,0.0,0.28378378378378377,0.0,0.0,0.0
2022-12-12,0.0,0.043478260869565216,0.1503623188405797,0.0,0.0,0.07246376811594203,0.5760869565217391,0.0,0.0,0.0,0.0
2022-12-19,0.167062818336163,0.014940577249575551,0.28183361629881154,0.0,0.12427843803056027,0.044142614601018676,0.19898132427843804,0.0,0.02275042444821732,0.0,0.05398981324278438
2022-12-26,0.12431144856334672,0.0,0.30891767157957417,0.01563197856185797,0.1525978859609945,0.03684680661009379,0.08560369212446031,0.0,0.0,0.0,0.06848295369956825
2023-01-02,0.19711777372867317,0.30304787145933404,0.0,0.008282259400364419,0.0,0.11926453536524763,0.03727016730163989,0.0,0.0,0.071227430843134,0.0
2023-01-09,0.3485254691689008,0.12064343163538874,0.0,0.0,0.0,0.26005361930294907,0.0,0.0,0.0,0.0,0.13941018766756033
2023-01-16,0.05858864461930902,0.461579369586184,0.07481319236004075,0.23013619606464583,0.0,0.0,0.0,0.056785917092561054,0.0,0.04648332927719641,0.028401972183914267
2023-01-23,0.16476552598225602,0.057034220532319393,0.0,0.031685678073510776,0.15462610899873258,0.11787072243346007,0.0,0.0,0.058935361216730035,0.0,0.0
2023-01-30,0.10504634397528322,0.1400617919670443,0.0,0.0,0.12564366632337795,0.0,0.0,0.12976313079299692,0.0,0.08032955715756952,0.0937178166838311
2023-02-06,0.0,0.21545887009965622,0.09606815051448546,0.30579765501116934,0.070604303390164,0.0,0.0,0.0,0.0,0.15997083232056666,0.013310647360440755
2023-02-13,0.37479806138933763,0.2197092084006462,0.0,0.051696284329563816,0.09854604200323101,0.1890145395799677,0.0,0.0,0.009693053311793215,0.0,0.0
2023-02-20,0.12232415902140673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-27,0.07258753202391119,0.02049530315969257,0.35439795046968403,0.0,0.05209222886421862,0.0,0.10076857386848848,0.0,0.04013663535439795,0.0,0.09564474807856532
2023-03-06,0.0,0.5710346434674537,0.0,0.08544352959453161,0.0,0.10626068044119931,0.06796644399565015,0.0,0.0,0.12284449277613795,0.0
2023-03-13,0.18127594877492545,0.16958072627331736,0.0,0.05327823584065909,0.03963380958878299,0.12474904001715299,0.0,0.042882482505896345,0.10206680570986751,0.0,0.0
2023-03-20,0.0,0.10062161799561736,0.0,0.40096596753275787,0.0,0.0,0.0,0.1475783730602388,0.0,0.0875408076561871,0.0
2023-03-27,0.20920840064620355,0.16397415185783523,0.20920840064620355,0.0420032310177706,0.0,0.08077544426494346,0.05250403877221325,0.05331179321486268,0.0,0.0,0.09854604200323101
2023-04-03,0.0,0.0,0.49299120931337603,0.0,0.0,0.0,0.0,0.0,0.5070087906866239,0.0,0.0
2023-04-10,,,,,,,,,,,
2023-04-17,0.13906111603188662,0.3312666076173605,0.0,0.0354295837023915,0.12223206377325066,0.10274579273693533,0.0,0.0,0.15057573073516387,0.0,0.0
2023-04-24,0.0,0.0,0.0,0.0,0.28860632424293126,0.0,0.0,0.2760582231888908,0.288940940271039,0.0,0.0
2023-05-01,0.1791530944625407,0.15903429775819122,0.07951714887909561,0.0,0.0,0.09484575589193332,0.09580379383023568,0.06323050392795555,0.14734623491090248,0.0,0.022992910519256563
2023-05-08,,,,,,,,,,,
2023-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182
2023-05-22,0.13762072716484822,0.3765863467053433,0.13679665095428026,0.0,0.05686125852918878,0.08158354484622737,0.0,0.053564953686916966,0.0,0.0,0.041203810528397666
2023-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-06-05,0.0,0.2347417840375587,0.38967136150234744,0.24413145539906103,0.0,0.0,0.0,0.0,0.0,0.0,0.13145539906103287
2023-06-12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-19,,,,,,,,,,,
2023-06-26,0.3146386987823305,0.25873255710603504,0.29508488134388056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03,,,,,,,,,,,
2023-07-10,0.17513134851138354,0.2160750255524408,0.0992211735593504,0.02151784486829286,0.08248507199512262,0.11834814677561072,0.0,0.07889876451707381,0.024823224927227844,0.0,0.020322409042276588
2023-07-17,0.07380607814761216,0.03328509406657019,0.2402315484804631,0.11722141823444283,0.09985528219971057,0.07525325615050651,0.0,0.0955137481910275,0.1085383502170767,0.0,0.059334298118668596
2023-07-24,0.1573873696635845,0.08993563980776256,0.11663528287569208,0.25198842078637473,0.0,0.07588319608779967,0.0,0.0,0.07377532952980523,0.19926365194907397,0.03513110929990725
2023-07-31,0.19233038348082596,0.21887905604719765,0.09793510324483776,0.0,0.08141592920353982,0.18171091445427728,0.0,0.07787610619469026,0.017699115044247787,0.014749262536873156,0.032448377581120944
2023-08-07,0.073715400737154,0.11415769314157691,0.0,0.20958300209583,0.099732600997326,0.042639300426393,0.069379200693792,0.09539640095396401,0.0,0.06124159861241599,0.040471200404712006
2023-08-14,0.23577235772357724,0.3516260162601626,0.16869918699186992,0.0,0.1402439024390244,0.0,0.0,0.0,0.0,0.0,0.028455284552845527
2023-08-21,0.11708253358925144,0.11900191938579655,0.0,0.0,0.1324376199616123,0.2783109404990403,0.0,0.12667946257197696,0.14587332053742802,0.0,0.0
2023-08-28,,,,,,,,,,,
2023-09-04,0.07073459962136183,0.19831485218549105,0.0690702561008592,0.23036178667276921,0.0,0.09131420725237688,0.016643435205026313,0.05492333617658684,0.03120644100942434,0.016289762206919505,0.0
2023-09-11,0.1419624217118998,0.07306889352818371,0.0,0.162839248434238,0.2881002087682672,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-18,0.17662337662337663,0.14025974025974025,0.0,0.0,0.0,0.0,0.35064935064935066,0.17142857142857143,0.0,0.0,0.06233766233766234
2023-09-25,0.13666352497643733,0.11875589066918002,0.31291234684260133,0.0,0.13383600377002827,0.0,0.0,0.0,0.0,0.0,0.02827521206409048
2023-10-02,0.10386965376782077,0.0,0.0,0.0,0.0,0.285132382892057,0.0,0.0,0.0,0.0,0.0
2023-10-09,0.16283716283716285,0.2017982017982018,0.16583416583416583,0.07992007992007992,0.0,0.05194805194805195,0.045454545454545456,0.06593406593406594,0.030469530469530468,0.0,0.023976023976023976
2023-10-16,0.05796501397370873,0.034779008384225235,0.08591243142531829,0.5786150502018425,0.0734913570023807,0.0,0.0,0.03415795466307835,0.04036849187454715,0.028982506986854364,0.006210537211468792
2023-10-23,,,,,,,,,,,
2023-10-30,0.1422077165170766,0.12092901270544354,0.04837393635621867,0.07070754167152349,0.11947779461475697,0.185913276605665,0.0,0.0,0.08858841356801492,0.09674787271243734,0.006993822123790652
2023-11-06,0.3761194029850746,0.3761194029850746,0.24776119402985075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-13,0.2961832061068702,0.0,0.1267175572519084,0.03816793893129771,0.1083969465648855,0.0,0.0,0.0,0.0,0.0,0.07022900763358779
2023-11-20,0.09248554913294797,0.3699421965317919,0.0,0.13872832369942195,0.0,0.0,0.0,0.0953757225433526,0.0,0.0,0.0
