semana_inicio,IMPUTADO,HARINA,CHOCOLATE,FONDANT,EMPAQUE,CHANTILLY,RELLENO,DECORACION,AMBIANTE,HUEVO,CAPACILLOS
2020-08-24,,,,,,,,,,,
2020-08-31,,,,,,,,,,,
2020-09-07,,,,,,,,,,,
2020-09-14,,,,,,,,,,,
2020-09-21,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.36,0.0,0.0,0.0
2020-09-28,,,,,,,,,,,
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.3958333333333333,0.0,0.0,0.0,0.3194444444444444,0.2847222222222222,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.3611111111111111,0.0,0.0,0.0,0.6388888888888888,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.45108695652173914,0.09239130434782607,0.21195652173913043,0.0,0.24456521739130435,0.0,0.0,0.0
2020-11-02,,,,,,,,,,,
2020-11-09,,,,,,,,,,,
2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-11-23,,,,,,,,,,,
2020-11-30,,,,,,,,,,,
2020-12-07,0.0,0.11494252873563218,0.05747126436781609,0.0,0.1425287356321839,0.17931034482758623,0.2988505747126437,0.0,0.0,0.0,0.20689655172413793
2020-12-14,0.0,0.06765899864682003,0.0,0.2246278755074425,0.2192151556156969,0.21109607577807848,0.10825439783491204,0.047361299052774024,0.0,0.0,0.12178619756427606
2020-12-21,,,,,,,,,,,
2020-12-28,0.0,0.4282744282744283,0.20582120582120583,0.0,0.0,0.17463617463617465,0.19126819126819128,0.0,0.0,0.0,0.0
2021-01-04,,,,,,,,,,,
2021-01-11,,,,,,,,,,,
2021-01-18,,,,,,,,,,,
2021-01-25,,,,,,,,,,,
2021-02-01,,,,,,,,,,,
2021-02-08,,,,,,,,,,,
2021-02-15,0.0,0.0,0.0,0.456043956043956,0.08241758241758243,0.21428571428571427,0.0,0.0,0.0,0.0,0.24725274725274726
2021-02-22,,,,,,,,,,,
2021-03-01,,,,,,,,,,,
2021-03-08,0.0,0.29069767441860467,0.2558139534883721,0.0,0.0,0.45348837209302323,0.0,0.0,0.0,0.0,0.0
2021-03-15,,,,,,,,,,,
2021-03-22,,,,,,,,,,,
2021-03-29,,,,,,,,,,,
2021-04-05,,,,,,,,,,,
2021-04-12,,,,,,,,,,,
2021-04-19,,,,,,,,,,,
2021-04-26,,,,,,,,,,,
2021-05-03,0.0,0.0,0.0,0.0,0.48,0.52,0.0,0.0,0.0,0.0,0.0
2021-05-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-17,0.0,0.0,0.0,0.7033898305084746,0.2966101694915254,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25
2021-06-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-28,0.0,0.30985915492957744,0.0,0.0,0.0,0.431924882629108,0.0,0.0,0.0,0.0,0.25821596244131456
2021-07-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19,0.0,0.08264462809917356,0.04591368227731864,0.22865013774104684,0.1561065197428834,0.1212121212121212,0.050505050505050504,0.20018365472910926,0.04591368227731864,0.0,0.06887052341597796
2021-07-26,0.0,0.07242339832869081,0.055710306406685235,0.11559888579387186,0.055710306406685235,0.22423398328690808,0.30919220055710306,0.0905292479108635,0.0,0.0,0.0766016713091922
2021-08-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-23,0.0,0.12639405204460966,0.0,0.15427509293680297,0.20446096654275092,0.08178438661710037,0.15427509293680297,0.2788104089219331,0.0,0.0,0.0
2021-08-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-06,0.0,0.0,0.5945945945945946,0.0,0.16216216216216217,0.0,0.0,0.24324324324324326,0.0,0.0,0.0
2021-09-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-20,0.0,0.09740259740259741,0.0,0.17965367965367965,0.0,0.0,0.10606060606060606,0.38961038961038963,0.0,0.0,0.22727272727272727
2021-09-27,0.0,0.14978902953586498,0.0,0.0,0.24894514767932494,0.339662447257384,0.2616033755274262,0.0,0.0,0.0,0.0
2021-10-04,0.0,0.42735042735042733,0.0,0.0,0.0,0.0,0.2564102564102564,0.10256410256410256,0.21367521367521367,0.0,0.0
2021-10-11,0.0,0.3383458646616541,0.0,0.0,0.0,0.6616541353383458,0.0,0.0,0.0,0.0,0.0
2021-10-18,0.0,0.0,0.0,0.0,0.1702127659574468,0.46808510638297873,0.3617021276595745,0.0,0.0,0.0,0.0
2021-10-25,0.0,0.2127659574468085,0.0,0.0,0.0975177304964539,0.24822695035460993,0.23936170212765961,0.0,0.0,0.06382978723404255,0.13829787234042554
2021-11-01,0.0,0.0,0.24293785310734464,0.0,0.1694915254237288,0.5875706214689266,0.0,0.0,0.0,0.0,0.0
2021-11-08,0.0,0.39593908629441626,0.0,0.0,0.27411167512690354,0.0,0.3299492385786802,0.0,0.0,0.0,0.0
2021-11-15,0.0,0.2939958592132505,0.0,0.34368530020703936,0.07246376811594203,0.0,0.09316770186335403,0.0,0.10351966873706005,0.0,0.09316770186335403
2021-11-22,0.0,0.0,0.2987012987012987,0.3593073593073593,0.0,0.0,0.1471861471861472,0.19480519480519481,0.0,0.0,0.0
2021-11-29,0.0,0.25223214285714285,0.16071428571428573,0.0,0.044642857142857144,0.07738095238095238,0.22247023809523808,0.18749999999999997,0.0,0.0,0.05505952380952381
2021-12-06,0.0,0.13309754281459418,0.04188384214445271,0.23175725986597168,0.16939687267311987,0.195457930007446,0.0776247207743857,0.12565152643335814,0.0,0.02513030528667163,0.0
2021-12-13,0.0,0.18421052631578946,0.07017543859649122,0.0,0.1649122807017544,0.1824561403508772,0.14736842105263157,0.15789473684210525,0.09298245614035087,0.0,0.0
2021-12-20,0.0,0.0,0.13286713286713286,0.3321678321678322,0.11888111888111887,0.1888111888111888,0.0,0.15734265734265734,0.0,0.0,0.06993006993006994
2021-12-27,0.0,0.12882018479033405,0.0,0.0,0.1421464108031272,0.23987206823027718,0.13734896943852168,0.0,0.0,0.2418710021321962,0.10994136460554371
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5813953488372093,0.0,0.0,0.4186046511627907
2022-01-10,0.0,0.0,0.04747550866616429,0.25018839487565936,0.0640542577241899,0.20648078372268275,0.09495101733232858,0.2780708364732479,0.0,0.0,0.0587792012057272
2022-01-17,0.0,0.0,0.20932918914412968,0.0,0.19065652054827148,0.0,0.047277100972931786,0.5527371893346671,0.0,0.0,0.0
2022-01-24,0.0,0.0,0.0,0.0,0.19814241486068113,0.39628482972136225,0.4055727554179566,0.0,0.0,0.0,0.0
2022-01-31,0.0,0.0,0.07158836689038031,0.0,0.2908277404921701,0.0,0.0,0.2796420581655481,0.0,0.3579418344519016,0.0
2022-02-07,0.0,0.09706144256455922,0.0,0.16918967052537845,0.20035618878005343,0.352626892252894,0.05609973285841496,0.1246660730186999,0.0,0.0,0.0
2022-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-02-21,0.0,0.36769759450171824,0.3539518900343643,0.0,0.0,0.2268041237113402,0.0,0.05154639175257732,0.0,0.0,0.0
2022-02-28,0.0,0.10284463894967177,0.10284463894967177,0.36323851203501095,0.0,0.14442013129102846,0.1137855579868709,0.0,0.0,0.17286652078774617,0.0
2022-03-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,0.20176991150442478,0.0,0.2938053097345133,0.0,0.2336283185840708,0.11150442477876106,0.1592920353982301,0.0,0.0,0.0
2022-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-04-04,0.0,0.0,0.0968783638320775,0.7147470398277718,0.05382131324004306,0.0,0.0,0.0,0.13455328310010764,0.0,0.0
2022-04-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-25,0.0,0.25374310480693457,0.09929078014184398,0.13081166272655634,0.0,0.10401891252955082,0.1867612293144208,0.0,0.09929078014184398,0.12608353033884948,0.0
2022-05-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-09,0.0,0.12470023980815348,0.0671462829736211,0.2653876898481215,0.07993605115907274,0.08633093525179855,0.20543565147881698,0.07034372501998401,0.10071942446043165,0.0,0.0
2022-05-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-30,0.0,0.3231083844580777,0.0,0.0,0.1134969325153374,0.22085889570552147,0.1329243353783231,0.03578732106339468,0.0,0.1738241308793456,0.0
2022-06-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-06-13,0.0,0.0,0.0,0.680327868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.319672131147541
2022-06-20,0.0,0.0,0.15217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8478260869565217
2022-06-27,0.0,0.0,0.04780114722753346,0.3173996175908222,0.06309751434034416,0.37858508604206503,0.0,0.040152963671128104,0.0,0.15296367112810708,0.0
2022-07-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-07-25,0.0,0.16964285714285718,0.0548469387755102,0.21173469387755103,0.07908163265306123,0.23979591836734693,0.24489795918367346,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-08-08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-15,0.0,0.28888888888888886,0.12444444444444444,0.0,0.0,0.5866666666666667,0.0,0.0,0.0,0.0,0.0
2022-08-22,0.0,0.0,0.0,0.9196675900277009,0.08033240997229915,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-29,0.0,0.21933962264150944,0.04009433962264151,0.0,0.14622641509433962,0.14386792452830188,0.12264150943396225,0.0,0.14858490566037735,0.0,0.1792452830188679
2022-09-05,0.0,0.0,0.0,0.3593073593073593,0.0,0.26406926406926406,0.2813852813852814,0.09523809523809523,0.0,0.0,0.0
2022-09-12,0.0,0.2674897119341564,0.12345679012345678,0.34156378600823045,0.0,0.0,0.2674897119341564,0.0,0.0,0.0,0.0
2022-09-19,0.0,0.1665292662819456,0.10882110469909316,0.0,0.1055234954657873,0.31821929101401486,0.08161582852431988,0.05605935696619951,0.0,0.07089859851607584,0.09233305853256389
2022-09-26,0.0,0.05263157894736841,0.22631578947368425,0.2236842105263158,0.0,0.16052631578947368,0.0,0.11842105263157894,0.0,0.21842105263157896,0.0
2022-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-17,0.0,0.31675874769797424,0.20257826887661143,0.0,0.09208103130755065,0.0,0.11970534069981584,0.11970534069981584,0.0,0.0,0.14917127071823205
2022-10-24,0.0,0.0,0.0,0.0,0.19680851063829788,0.0,0.0,0.2393617021276596,0.3351063829787234,0.22872340425531915,0.0
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-11-07,0.0,0.1582537517053206,0.1077762619372442,0.22646657571623466,0.0,0.15688949522510232,0.18008185538881313,0.17053206002728513,0.0,0.0,0.0
2022-11-14,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.375,0.525,0.0,0.0
2022-11-21,0.0,0.0,0.0,0.35095137420718814,0.0,0.25792811839323465,0.0,0.39112050739957716,0.0,0.0,0.0
2022-11-28,0.0,0.028150134048257374,0.18096514745308312,0.2225201072386059,0.064343163538874,0.08176943699731903,0.058981233243967826,0.1447721179624665,0.0,0.12734584450402145,0.09115281501340483
2022-12-05,0.0,0.2914285714285714,0.0,0.0,0.0,0.3485714285714286,0.0,0.0,0.36,0.0,0.0
2022-12-12,0.0,0.0,0.05161290322580645,0.17849462365591398,0.0,0.0,0.08602150537634409,0.6838709677419355,0.0,0.0,0.0
2022-12-19,0.0,0.19562624254473163,0.01749502982107356,0.33001988071570576,0.0,0.14552683896620278,0.05168986083499006,0.23300198807157055,0.0,0.026640159045725646,0.0
2022-12-26,0.0,0.17172236503856042,0.0,0.42673521850899737,0.021593830334190232,0.21079691516709512,0.05089974293059126,0.11825192802056554,0.0,0.0,0.0
2023-01-02,0.0,0.26774665316683544,0.4116323545955675,0.0,0.01124985937675779,0.0,0.16199797502531219,0.05062436719541005,0.0,0.0,0.096748790640117
2023-01-09,0.0,0.47794117647058826,0.16544117647058823,0.0,0.0,0.0,0.35661764705882354,0.0,0.0,0.0,0.0
2023-01-16,0.0,0.06310802151498088,0.4971844113477932,0.08058408901143711,0.24788830851084484,0.0,0.0,0.0,0.06116623623759684,0.0,0.050068933377347136
2023-01-23,0.0,0.28169014084507044,0.09750812567713976,0.0,0.05417118093174431,0.26435536294691225,0.20151679306608883,0.0,0.0,0.10075839653304441,0.0
2023-01-30,0.0,0.18085106382978725,0.24113475177304963,0.0,0.0,0.2163120567375887,0.0,0.0,0.22340425531914893,0.0,0.13829787234042554
2023-02-06,0.0,0.0,0.25410887845364205,0.11330129955225511,0.36065305230970846,0.0832696297914164,0.0,0.0,0.0,0.0,0.188667139892978
2023-02-13,0.0,0.3972602739726027,0.2328767123287671,0.0,0.054794520547945195,0.10445205479452056,0.20034246575342465,0.0,0.0,0.010273972602739725,0.0
2023-02-20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-27,0.0,0.11333333333333333,0.032,0.5533333333333333,0.0,0.08133333333333333,0.0,0.15733333333333333,0.0,0.06266666666666666,0.0
2023-03-06,0.0,0.0,0.5988514173998045,0.0,0.0896057347670251,0.0,0.11143695014662758,0.0712772890192245,0.0,0.0,0.12882860866731835
2023-03-13,0.0,0.2540775346283092,0.23768543562003117,0.0,0.07467511770437761,0.05555100219471994,0.1748490560882988,0.0,0.060104363030352714,0.1430574907339107,0.0
2023-03-20,0.0,0.0,0.1365829969344705,0.0,0.5442680668953167,0.0,0.0,0.0,0.20032172883722343,0.0,0.11882720733298935
2023-03-27,0.0,0.25796812749003983,0.20219123505976094,0.25796812749003983,0.051792828685258974,0.0,0.099601593625498,0.0647410358565737,0.06573705179282868,0.0,0.0
2023-04-03,0.0,0.0,0.0,0.49299120931337603,0.0,0.0,0.0,0.0,0.0,0.5070087906866239,0.0
2023-04-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-17,0.0,0.1577889447236181,0.3758793969849246,0.0,0.04020100502512563,0.13869346733668342,0.11658291457286432,0.0,0.0,0.1708542713567839,0.0
2023-04-24,0.0,0.0,0.0,0.0,0.0,0.3381027048216386,0.0,0.0,0.3234025872206978,0.3384947079576637,0.0
2023-05-01,0.0,0.21876462330369678,0.19419747309312121,0.09709873654656061,0.0,0.0,0.11581656527842771,0.11698642957416941,0.0772110435189518,0.17992512868507254,0.0
2023-05-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-15,,,,,,,,,,,
2023-05-22,0.0,0.1632485483587167,0.44671450077225355,0.16227101214099982,0.0,0.06744999902246378,0.09677608555396977,0.0,0.06353985415159631,0.0,0.0
2023-05-29,,,,,,,,,,,
2023-06-05,0.0,0.0,0.2702702702702703,0.4486486486486487,0.2810810810810811,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-06-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-26,0.0,0.3622965919557875,0.29792242349810666,0.33978098454610584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-10,0.0,0.21449016493049206,0.26463547652686986,0.12152002518246305,0.026353740401016082,0.10102267153722833,0.14494557220558846,0.0,0.09663038147039231,0.030401967745949943,0.0
2023-07-17,0.0,0.08747855917667238,0.03945111492281304,0.2847341337907376,0.13893653516295026,0.1183533447684391,0.08919382504288165,0.0,0.11320754716981132,0.12864493996569468,0.0
2023-07-24,0.0,0.1631178817977921,0.0932102181701669,0.12088200168943522,0.2611633800355364,0.0,0.07864612158107834,0.0,0.0,0.07646150709271506,0.20651888963327608
2023-07-31,0.0,0.2179144385026738,0.2479946524064171,0.1109625668449198,0.0,0.09224598930481283,0.20588235294117646,0.0,0.08823529411764706,0.020053475935828877,0.016711229946524065
2023-08-07,0.0,0.09625365669529111,0.14906105501557043,0.0,0.27366235727092575,0.13022553552892327,0.05567613475511937,0.09059167688968575,0.12456355572331791,0.0,0.07996602812116638
2023-08-14,0.0,0.26303854875283444,0.3922902494331066,0.18820861678004536,0.0,0.1564625850340136,0.0,0.0,0.0,0.0,0.0
2023-08-21,0.0,0.12734864300626306,0.12943632567849686,0.0,0.0,0.1440501043841336,0.302713987473904,0.0,0.13778705636743216,0.15866388308977036,0.0
2023-08-28,0.0,0.24878048780487802,0.0,0.0,0.0,0.33658536585365856,0.0,0.4146341463414634,0.0,0.0,0.0
2023-09-04,0.0,0.09081827263645445,0.2546223829646289,0.08868137210383199,0.2957684027202743,0.0,0.11724104772233114,0.021369005326224575,0.0705177175765411,0.04006688498667108,0.020914913963042302
2023-09-11,0.0,0.21316614420062696,0.10971786833855798,0.0,0.2445141065830721,0.4326018808777429,0.0,0.0,0.0,0.0,0.0
2023-09-18,0.0,0.2105263157894737,0.16718266253869968,0.0,0.0,0.0,0.0,0.4179566563467492,0.2043343653250774,0.0,0.0
2023-09-25,0.0,0.19463087248322147,0.1691275167785235,0.44563758389261743,0.0,0.1906040268456376,0.0,0.0,0.0,0.0,0.0
2023-10-02,0.0,0.2670157068062827,0.0,0.0,0.0,0.0,0.7329842931937173,0.0,0.0,0.0,0.0
2023-10-09,0.0,0.20248447204968945,0.25093167701863356,0.2062111801242236,0.09937888198757763,0.0,0.06459627329192547,0.05652173913043478,0.08198757763975155,0.037888198757763975,0.0
