rezago,acf,pacf
0,1.0,1.0
1,0.5747102091381846,0.5760436434981338
2,0.4238017397947316,0.1406021047228025
3,0.3642196318830779,0.11450160102059391
4,0.3009802658666675,0.04090766114092303
5,0.4114955309762047,0.2769911767783081
6,0.41856563730346513,0.11345222835595667
7,0.4302700487151343,0.13995668176063386
8,0.4161356193317555,0.07909590026802207
9,0.2916302887311831,-0.07833647575489902
10,0.3767748905878683,0.19435633368910182
11,0.3126725502929024,-0.06755739042434261
12,0.3373949246106549,0.08943706071969611
13,0.3430503725391985,-0.020406961888357635
14,0.3300852704700255,0.09204892643120267
15,0.38802574011604024,0.09865044574188078
16,0.38407965737817434,0.08877128383921819
17,0.32489382322418187,-0.04044899340502476
18,0.3149673789538096,-0.0016602072887718074
19,0.1790834107029132,-0.16695717930163587
20,0.1986073754872536,-0.04108014227656579
21,0.27458266404486303,0.09522322438527893
22,0.30802371563298087,0.024473763928645483
23,0.3110538464368383,-0.005988248382990275
24,0.2951008285627469,0.06265766995495367
25,0.2423490116669468,-0.003576726311334372
26,0.1774158459028198,-0.1035134728609461
