semana_inicio,total
2024-09-23,
2024-09-30,
2024-10-07,
2024-10-14,
2024-10-21,
2024-10-28,
2024-11-04,
2024-11-11,
2024-11-18,
2024-11-25,
2024-12-02,
2024-12-09,
2024-12-16,
2024-12-23,
2024-12-30,
2025-01-06,
2025-01-13,
2025-01-20,
2025-01-27,
2025-02-03,
2025-02-10,
2025-02-17,
2025-02-24,
2025-03-03,
2025-03-10,
