rezago,acf,pacf
0,1.0,1.0
1,0.11287966085102145,0.11409342064511849
2,0.05112263252152358,0.03973391408649523
3,0.043507410559046944,0.03519862298574778
4,-0.0283492420686959,-0.04100790816209605
5,-0.05190101625911812,-0.05154099271742093
6,-0.09679031997407275,-0.09232345475116013
7,-0.09998377704075692,-0.08228759692731147
8,-0.058883641567685045,-0.03490123051592601
9,-0.04254799365583863,-0.025395592479574798
10,0.017003495841612433,0.03103151096311385
11,0.06377654611149834,0.06279093724446687
12,0.09527980618917047,0.08217166010535626
13,0.8370802643036008,0.9715737515053379
14,0.06793182799318608,-0.7337398494930161
15,0.012891370627728452,0.40163695749780065
16,0.01787780818113383,-2.27128197143732
17,-0.038124142080460124,-1.1644707275382815
18,-0.06664119272488253,0.17251029309041604
19,-0.1062193197487984,-0.7167249392079488
20,-0.10922105062328288,1.1195019117603688
21,-0.07919301992871898,2.2850204502842426
22,-0.06620720856516774,0.7927944036079675
23,-0.019991949967687207,18.056635515017298
24,0.023650258148416252,-0.9686590823932058
25,0.047068352019165496,1.0118089746006946
26,0.6822621977902307,-38.40126430270367
