semana_inicio,HARINA,COMBUSTIBLE,CHOCOLATE,FONDANT,EMPAQUE,CHANTILLY,RELLENO,DECORACION,HERRAMIENTA,AMBIANTE,HUEVO,MUEBLES,CAPACILLOS,otros
2017-10-16,,,,,,,,,,,,,,
2017-10-23,,,,,,,,,,,,,,
2017-10-30,,,,,,,,,,,,,,
2017-11-06,,,,,,,,,,,,,,
2017-11-13,,,,,,,,,,,,,,
2017-11-20,,,,,,,,,,,,,,
2017-11-27,,,,,,,,,,,,,,
2017-12-04,,,,,,,,,,,,,,
2017-12-11,,,,,,,,,,,,,,
2017-12-18,,,,,,,,,,,,,,
2017-12-25,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,
2018-01-08,,,,,,,,,,,,,,
2018-01-15,,,,,,,,,,,,,,
2018-01-22,,,,,,,,,,,,,,
2018-01-29,,,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,,
2018-02-12,,,,,,,,,,,,,,
2018-02-19,,,,,,,,,,,,,,
2018-02-26,,,,,,,,,,,,,,
2018-03-05,,,,,,,,,,,,,,
2018-03-12,,,,,,,,,,,,,,
2018-03-19,,,,,,,,,,,,,,
2018-03-26,,,,,,,,,,,,,,
2018-04-02,,,,,,,,,,,,,,
2018-04-09,,,,,,,,,,,,,,
2018-04-16,,,,,,,,,,,,,,
2018-04-23,,,,,,,,,,,,,,
2018-04-30,,,,,,,,,,,,,,
2018-05-07,,,,,,,,,,,,,,
2018-05-14,,,,,,,,,,,,,,
2018-05-21,,,,,,,,,,,,,,
2018-05-28,,,,,,,,,,,,,,
2018-06-04,,,,,,,,,,,,,,
2018-06-11,,,,,,,,,,,,,,
2018-06-18,,,,,,,,,,,,,,
2018-06-25,,,,,,,,,,,,,,
2018-07-02,,,,,,,,,,,,,,
2018-07-09,,,,,,,,,,,,,,
2018-07-16,,,,,,,,,,,,,,
2018-07-23,,,,,,,,,,,,,,
2018-07-30,,,,,,,,,,,,,,
2018-08-06,,,,,,,,,,,,,,
2018-08-13,,,,,,,,,,,,,,
2018-08-20,,,,,,,,,,,,,,
2018-08-27,,,,,,,,,,,,,,
2018-09-03,,,,,,,,,,,,,,
2018-09-10,,,,,,,,,,,,,,
2018-09-17,,,,,,,,,,,,,,
2018-09-24,,,,,,,,,,,,,,
2018-10-01,,,,,,,,,,,,,,
2018-10-08,,,,,,,,,,,,,,
2018-10-15,,,,,,,,,,,,,,
2018-10-22,,,,,,,,,,,,,,
2018-10-29,,,,,,,,,,,,,,
2018-11-05,,,,,,,,,,,,,,
2018-11-12,,,,,,,,,,,,,,
2018-11-19,,,,,,,,,,,,,,
2018-11-26,,,,,,,,,,,,,,
2018-12-03,,,,,,,,,,,,,,
2018-12-10,,,,,,,,,,,,,,
2018-12-17,,,,,,,,,,,,,,
2018-12-24,,,,,,,,,,,,,,
2018-12-31,,,,,,,,,,,,,,
2019-01-07,,,,,,,,,,,,,,
2019-01-14,,,,,,,,,,,,,,
2019-01-21,0.35910478128179046,0.0,0.06002034587995931,0.0,0.12817904374364192,0.323499491353001,0.0,0.07121057985757884,0.0,0.0,0.0,0.0,0.0,0.05798575788402848
2019-01-28,,,,,,,,,,,,,,
2019-02-04,,,,,,,,,,,,,,
2019-02-11,,,,,,,,,,,,,,
2019-02-18,,,,,,,,,,,,,,
2019-02-25,,,,,,,,,,,,,,
2019-03-04,,,,,,,,,,,,,,
2019-03-11,,,,,,,,,,,,,,
2019-03-18,,,,,,,,,,,,,,
2019-03-25,,,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,,,,
2019-04-08,,,,,,,,,,,,,,
2019-04-15,,,,,,,,,,,,,,
2019-04-22,,,,,,,,,,,,,,
2019-04-29,,,,,,,,,,,,,,
2019-05-06,,,,,,,,,,,,,,
2019-05-13,,,,,,,,,,,,,,
2019-05-20,,,,,,,,,,,,,,
2019-05-27,,,,,,,,,,,,,,
2019-06-03,,,,,,,,,,,,,,
2019-06-10,,,,,,,,,,,,,,
2019-06-17,0.3088235294117647,0.0,0.028594771241830064,0.0,0.06535947712418301,0.2679738562091503,0.23366013071895425,0.04656862745098039,0.0,0.0,0.0,0.0,0.0,0.049019607843137254
2019-06-24,,,,,,,,,,,,,,
2019-07-01,,,,,,,,,,,,,,
2019-07-08,,,,,,,,,,,,,,
2019-07-15,,,,,,,,,,,,,,
2019-07-22,,,,,,,,,,,,,,
2019-07-29,,,,,,,,,,,,,,
2019-08-05,,,,,,,,,,,,,,
2019-08-12,,,,,,,,,,,,,,
2019-08-19,,,,,,,,,,,,,,
2019-08-26,,,,,,,,,,,,,,
2019-09-02,,,,,,,,,,,,,,
2019-09-09,0.38495092693565974,0.0,0.03816793893129771,0.20719738276990185,0.11123227917121047,0.17011995637949837,0.0,0.0,0.0,0.0,0.0,0.0,0.05452562704471101,0.03380588876772083
2019-09-16,,,,,,,,,,,,,,
2019-09-23,0.4442953020134228,0.0,0.0,0.0,0.13691275167785236,0.0,0.13288590604026845,0.040268456375838924,0.0,0.0,0.0,0.0,0.14496644295302014,0.10067114093959731
2019-09-30,,,,,,,,,,,,,,
2019-10-07,,,,,,,,,,,,,,
2019-10-14,,,,,,,,,,,,,,
2019-10-21,,,,,,,,,,,,,,
2019-10-28,,,,,,,,,,,,,,
2019-11-04,,,,,,,,,,,,,,
2019-11-11,,,,,,,,,,,,,,
2019-11-18,,,,,,,,,,,,,,
2019-11-25,,,,,,,,,,,,,,
2019-12-02,,,,,,,,,,,,,,
2019-12-09,,,,,,,,,,,,,,
2019-12-16,,,,,,,,,,,,,,
2019-12-23,,,,,,,,,,,,,,
2019-12-30,,,,,,,,,,,,,,
2020-01-06,,,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,,,
2020-01-20,,,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,,,
2020-02-03,,,,,,,,,,,,,,
2020-02-10,,,,,,,,,,,,,,
2020-02-17,,,,,,,,,,,,,,
2020-02-24,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,,,,
2020-03-23,,,,,,,,,,,,,,
2020-03-30,,,,,,,,,,,,,,
2020-04-06,,,,,,,,,,,,,,
2020-04-13,0.0,0.0,0.0,0.3393829401088929,0.0,0.0,0.35571687840290384,0.0,0.08166969147005444,0.0,0.0,0.0,0.0,0.22323049001814882
2020-04-20,,,,,,,,,,,,,,
2020-04-27,,,,,,,,,,,,,,
2020-05-04,,,,,,,,,,,,,,
2020-05-11,,,,,,,,,,,,,,
2020-05-18,0.325,0.0,0.0,0.275,0.07,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2020-05-25,,,,,,,,,,,,,,
2020-06-01,,,,,,,,,,,,,,
2020-06-08,0.2851063829787234,0.0,0.1829787234042553,0.0,0.0,0.0,0.0,0.0,0.0,0.425531914893617,0.0,0.0,0.10638297872340426,0.0
2020-06-15,,,,,,,,,,,,,,
2020-06-22,,,,,,,,,,,,,,
2020-06-29,,,,,,,,,,,,,,
2020-07-06,,,,,,,,,,,,,,
2020-07-13,,,,,,,,,,,,,,
2020-07-20,0.0,0.0,0.0,0.7818930041152263,0.11522633744855967,0.0,0.0,0.0,0.102880658436214,0.0,0.0,0.0,0.0,0.0
2020-07-27,,,,,,,,,,,,,,
2020-08-03,,,,,,,,,,,,,,
2020-08-10,,,,,,,,,,,,,,
2020-08-17,,,,,,,,,,,,,,
2020-08-24,,,,,,,,,,,,,,
2020-08-31,,,,,,,,,,,,,,
2020-09-07,,,,,,,,,,,,,,
2020-09-14,,,,,,,,,,,,,,
2020-09-21,0.0,0.0,0.0,0.5498281786941581,0.0,0.0,0.0,0.30927835051546393,0.0,0.0,0.0,0.0,0.0,0.140893470790378
2020-09-28,,,,,,,,,,,,,,
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.3700787401574803,0.0,0.0,0.0,0.0,0.0,0.0,0.6299212598425197
2020-10-12,0.25583482944344704,0.0,0.0,0.0,0.0,0.20646319569120286,0.18402154398563733,0.0,0.0,0.0,0.0,0.0,0.0,0.35368043087971274
2020-10-19,0.3611111111111111,0.0,0.0,0.0,0.0,0.6388888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.24702380952380953,0.050595238095238096,0.11607142857142858,0.0,0.13392857142857142,0.4226190476190476,0.0,0.0,0.0,0.0,0.02976190476190476
2020-11-02,,,,,,,,,,,,,,
2020-11-09,,,,,,,,,,,,,,
2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-23,,,,,,,,,,,,,,
2020-11-30,,,,,,,,,,,,,,
2020-12-07,0.10395010395010396,0.0,0.05197505197505198,0.0,0.1288981288981289,0.16216216216216217,0.2702702702702703,0.0,0.05405405405405406,0.0,0.0,0.0,0.18711018711018712,0.04158004158004158
2020-12-14,0.06587615283267458,0.0,0.0,0.21870882740447958,0.2134387351778656,0.20553359683794467,0.10540184453227931,0.0461133069828722,0.0,0.0,0.0,0.0,0.11857707509881422,0.026350461133069828
2020-12-21,,,,,,,,,,,,,,
2020-12-28,0.3582608695652174,0.0,0.17217391304347826,0.0,0.0,0.14608695652173914,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.1634782608695652
2021-01-04,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,,,,
2021-02-08,,,,,,,,,,,,,,
2021-02-15,0.0,0.0,0.0,0.3878504672897196,0.07009345794392523,0.1822429906542056,0.0,0.0,0.0,0.0,0.0,0.0,0.2102803738317757,0.14953271028037382
2021-02-22,,,,,,,,,,,,,,
2021-03-01,,,,,,,,,,,,,,
2021-03-08,0.29069767441860467,0.0,0.2558139534883721,0.0,0.0,0.45348837209302323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-15,,,,,,,,,,,,,,
2021-03-22,,,,,,,,,,,,,,
2021-03-29,,,,,,,,,,,,,,
2021-04-05,,,,,,,,,,,,,,
2021-04-12,,,,,,,,,,,,,,
2021-04-19,,,,,,,,,,,,,,
2021-04-26,,,,,,,,,,,,,,
2021-05-03,0.0,0.0,0.0,0.0,0.48,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-10,,,,,,,,,,,,,,
2021-05-17,0.0,0.0,0.0,0.1873589164785553,0.07900677200902935,0.0,0.0,0.0,0.7336343115124153,0.0,0.0,0.0,0.0,0.0
2021-05-24,,,,,,,,,,,,,,
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0
2021-06-07,,,,,,,,,,,,,,
2021-06-14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-21,0.0,0.0,0.0,0.7685185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23148148148148148
2021-06-28,0.30985915492957744,0.0,0.0,0.0,0.0,0.431924882629108,0.0,0.0,0.0,0.0,0.0,0.0,0.25821596244131456,0.0
2021-07-05,,,,,,,,,,,,,,
2021-07-12,,,,,,,,,,,,,,
2021-07-19,0.07263922518159806,0.0,0.04035512510088781,0.2009685230024213,0.13720742534301855,0.10653753026634383,0.04439063761097659,0.17594834543987087,0.08958837772397095,0.04035512510088781,0.0,0.0,0.06053268765133172,0.031476997578692496
2021-07-26,0.06718346253229975,0.0,0.05167958656330749,0.10723514211886305,0.05167958656330749,0.20801033591731266,0.2868217054263566,0.08397932816537468,0.04521963824289406,0.0,0.0,0.0,0.0710594315245478,0.027131782945736434
2021-08-02,,,,,,,,,,,,,,
2021-08-09,,,,,,,,,,,,,,
2021-08-16,,,,,,,,,,,,,,
2021-08-23,0.1111111111111111,0.0,0.0,0.13562091503267973,0.17973856209150327,0.0718954248366013,0.13562091503267973,0.24509803921568626,0.05392156862745098,0.0,0.0,0.0,0.0,0.06699346405228758
2021-08-30,,,,,,,,,,,,,,
2021-09-06,0.0,0.0,0.55,0.0,0.15,0.0,0.0,0.225,0.075,0.0,0.0,0.0,0.0,0.0
2021-09-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-20,0.07887817703768624,0.0,0.0,0.14548641542506574,0.0,0.0,0.08588957055214724,0.31551270815074495,0.11744084136722173,0.0,0.0,0.0,0.18404907975460122,0.07274320771253287
2021-09-27,0.04276593181544392,0.48427900252981565,0.0,0.0,0.07107577400313216,0.09697626791952776,0.07468979641007108,0.0,0.18853150222864715,0.0,0.0,0.0,0.0,0.041681725093362244
2021-10-04,0.42735042735042733,0.0,0.0,0.0,0.0,0.0,0.2564102564102564,0.10256410256410256,0.0,0.21367521367521367,0.0,0.0,0.0,0.0
2021-10-11,0.10392609699769054,0.0,0.0,0.0,0.0,0.20323325635103925,0.0,0.0,0.6928406466512702,0.0,0.0,0.0,0.0,0.0
2021-10-18,0.0,0.0,0.0,0.0,0.1702127659574468,0.46808510638297873,0.3617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-25,0.20905923344947736,0.0,0.0,0.0,0.09581881533101046,0.24390243902439024,0.23519163763066203,0.0,0.0,0.0,0.0627177700348432,0.0,0.13588850174216027,0.017421602787456445
2021-11-01,0.0,0.0,0.24293785310734464,0.0,0.1694915254237288,0.5875706214689266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-08,0.3795620437956204,0.0,0.0,0.0,0.26277372262773724,0.0,0.31630170316301703,0.0,0.0,0.0,0.0,0.0,0.0,0.0413625304136253
2021-11-15,0.17606943583384996,0.0,0.0,0.20582765034097955,0.04339739615623062,0.0,0.05579665220086795,0.0,0.3161810291382517,0.06199628022318661,0.0,0.0,0.05579665220086795,0.08493490390576565
2021-11-22,0.0,0.0,0.2987012987012987,0.3593073593073593,0.0,0.0,0.1471861471861472,0.19480519480519481,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-29,0.18397915988277436,0.0,0.1172256593943341,0.0,0.0325626831650928,0.05644198415282753,0.16227070443937916,0.13676326929338978,0.0,0.0,0.0,0.0,0.040160642570281124,0.2705958971019212
2021-12-06,0.1199261992619926,0.0,0.0377390137537739,0.20882254277088225,0.15263334451526334,0.17611539751761152,0.0699429721569943,0.11321704126132169,0.0,0.0,0.022643408252264338,0.0,0.0,0.098960080509896
2021-12-13,0.18072289156626506,0.0,0.06884681583476764,0.0,0.16179001721170397,0.17900172117039587,0.14457831325301204,0.1549053356282272,0.0,0.09122203098106713,0.0,0.0,0.0,0.0189328743545611
2021-12-20,0.0,0.0,0.1237785016286645,0.30944625407166126,0.11074918566775244,0.1758957654723127,0.0,0.1465798045602606,0.0,0.0,0.0,0.0,0.06514657980456026,0.06840390879478828
2021-12-27,0.043934734194858126,0.25065523353583713,0.0,0.0,0.04847970669777448,0.08180950505249444,0.046843516596724595,0.0,0.3484478918902541,0.0,0.0824912509279319,0.0,0.037496023149059955,0.05984213795506538
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37202380952380953,0.23809523809523808,0.0,0.0,0.0,0.26785714285714285,0.12202380952380952
2022-01-10,0.0,0.0,0.03211009174311927,0.1692150866462793,0.04332313965341488,0.1396534148827727,0.06422018348623854,0.18807339449541285,0.0,0.0,0.0,0.0,0.039755351681957186,0.3236493374108053
2022-01-17,0.0,0.0,0.19272220943108684,0.0,0.17553092348342816,0.0,0.04352640638533478,0.508886184477409,0.021620673398458485,0.0,0.0,0.0,0.0,0.05771360282428269
2022-01-24,0.0,0.0,0.0,0.0,0.16580310880829016,0.3316062176165803,0.3393782383419689,0.0,0.0,0.0,0.0,0.0,0.0,0.16321243523316062
2022-01-31,0.0,0.5741801145236856,0.02776331771646712,0.0,0.11278847822314768,0.0,0.0,0.10845045982994969,0.0,0.0,0.1388165885823356,0.0,0.0,0.03800104112441437
2022-02-07,0.06147078727723889,0.0,0.0,0.1071509136025265,0.1268892397924656,0.22332506203473945,0.035528987141890365,0.07895330475975637,0.0,0.0,0.0,0.0,0.0,0.36668170539138284
2022-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,0.3485342019543974,0.0,0.3355048859934853,0.0,0.0,0.21498371335504887,0.0,0.048859934853420196,0.0,0.0,0.0,0.0,0.0,0.05211726384364821
2022-02-28,0.07366771159874608,0.18808777429467086,0.07366771159874608,0.2601880877742947,0.0,0.10344827586206896,0.08150470219435736,0.0,0.0,0.0,0.1238244514106583,0.0,0.0,0.09561128526645768
2022-03-07,,,,,,,,,,,,,,
2022-03-14,0.0,0.0,0.0,0.0,0.9771949828962372,0.0,0.0,0.0,0.02280501710376283,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.10787282361847086,0.3991294473883422,0.0,0.1570779712339137,0.0,0.12490537471612416,0.059613928841786526,0.08516275548826646,0.0,0.0,0.0,0.0,0.0,0.06623769871309614
2022-03-28,0.0,0.7338656021290751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1774229319139499,0.0,0.0,0.08871146595697495
2022-04-04,0.0,0.0,0.08256880733944955,0.6091743119266055,0.045871559633027525,0.0,0.0,0.0,0.0,0.11467889908256881,0.0,0.0,0.0,0.14770642201834863
2022-04-11,,,,,,,,,,,,,,
2022-04-18,,,,,,,,,,,,,,
2022-04-25,0.12069870305120323,0.24806957043256614,0.04722992728090561,0.06222355498912962,0.0,0.04947897143713921,0.08883724417122722,0.0,0.0,0.04722992728090561,0.05997451083289602,0.0,0.0,0.27625759052402726
2022-05-02,,,,,,,,,,,,,,
2022-05-09,0.09341317365269461,0.0,0.05029940119760479,0.19880239520958085,0.059880239520958084,0.06467065868263473,0.15389221556886226,0.05269461077844311,0.041916167664670656,0.07544910179640718,0.0,0.0,0.0,0.2089820359281437
2022-05-16,,,,,,,,,,,,,,
2022-05-23,,,,,,,,,,,,,,
2022-05-30,0.1726964695595147,0.3616788720078697,0.0,0.0,0.06066236747185485,0.11804568805333916,0.0710460159580282,0.01912777352716144,0.0,0.0,0.09290632856049842,0.0,0.0,0.10383648486173352
2022-06-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13,0.0,0.0,0.0,0.680327868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319672131147541,0.0
2022-06-20,0.0,0.0,0.15217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8478260869565217,0.0
2022-06-27,0.0,0.3451188986232791,0.026074259491030455,0.17313308302044222,0.0344180225281602,0.20650813516896122,0.0,0.021902377972465584,0.019294952023362538,0.0,0.08343763037129746,0.0,0.0,0.09011264080100126
2022-07-04,,,,,,,,,,,,,,
2022-07-11,,,,,,,,,,,,,,
2022-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25,0.12660637791527843,0.0,0.04093288910042837,0.15801999048072346,0.059019514516896715,0.1789623988576868,0.18277010947168015,0.0,0.11899095668729176,0.0,0.0,0.0,0.0,0.1346977629700143
2022-08-01,0.0,0.7338656021290751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1774229319139499,0.0,0.0,0.08871146595697495
2022-08-08,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875
2022-08-15,0.2549019607843137,0.0,0.10980392156862745,0.0,0.0,0.5176470588235295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941
2022-08-22,0.0,0.0,0.0,0.8117359413202934,0.07090464547677261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11735941320293398
2022-08-29,0.09874708005946062,0.35134848163091953,0.018050541516245487,0.0,0.06583138670630707,0.06476959014652793,0.05521342110851561,0.0,0.0,0.06689318326608622,0.0,0.0,0.08069653854321512,0.19844977702272246
2022-09-05,0.0,0.0,0.0,0.3229571984435798,0.0,0.23735408560311283,0.2529182879377432,0.08560311284046693,0.0,0.0,0.0,0.0,0.0,0.10116731517509728
2022-09-12,0.16795865633074936,0.0,0.07751937984496124,0.2144702842377261,0.0,0.0,0.16795865633074936,0.0,0.3359173126614987,0.0,0.0,0.0,0.0,0.03617571059431524
2022-09-19,0.1259351620947631,0.0,0.08229426433915212,0.0,0.0798004987531172,0.24064837905236908,0.06172069825436409,0.04239401496259352,0.0,0.0,0.05361596009975062,0.0,0.06982543640897755,0.24376558603491272
2022-09-26,0.02094460152895591,0.34652843229657554,0.09006178657451042,0.08901455649806263,0.0,0.06388103466331553,0.0,0.0471253534401508,0.010472300764477955,0.0,0.08692009634516704,0.0,0.0,0.24505183788878418
2022-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-10-10,,,,,,,,,,,,,,
2022-10-17,0.2927659574468085,0.0,0.18723404255319148,0.0,0.0851063829787234,0.0,0.11063829787234042,0.11063829787234042,0.01702127659574468,0.0,0.0,0.0,0.13787234042553193,0.05872340425531915
2022-10-24,0.0,0.0,0.0,0.0,0.09879839786381843,0.0,0.0,0.12016021361815754,0.37383177570093457,0.16822429906542055,0.11481975967957277,0.0,0.0,0.12416555407209613
2022-10-31,0.0,0.45522080066033843,0.0,0.0,0.0,0.0,0.0,0.0,0.43472279543265924,0.0,0.11005640390700235,0.0,0.0,0.0
2022-11-07,0.15394824153948242,0.0,0.10484406104844061,0.22030524220305242,0.0,0.15262110152621103,0.17518248175182483,0.16589250165892502,0.0,0.0,0.0,0.0,0.0,0.027206370272063702
2022-11-14,0.0,0.0,0.08921933085501858,0.0,0.0,0.0,0.0,0.3345724907063197,0.0,0.4684014869888476,0.0,0.0,0.0,0.10780669144981413
2022-11-21,0.0,0.0,0.0,0.35095137420718814,0.0,0.25792811839323465,0.0,0.39112050739957716,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-28,0.016255128105890547,0.2561343757256753,0.10449725210929638,0.12849291740846813,0.037154578527749824,0.0472172768790154,0.03405836365043734,0.0835978016874371,0.0,0.0,0.07353510333617153,0.0,0.05263565291431225,0.1664215496555461
2022-12-05,0.07445255474452554,0.0,0.0,0.0,0.0,0.08905109489051095,0.0,0.0,0.6759124087591241,0.09197080291970802,0.0,0.0,0.0,0.06861313868613139
2022-12-12,0.0,0.0,0.043478260869565216,0.1503623188405797,0.0,0.0,0.07246376811594203,0.5760869565217391,0.0,0.0,0.0,0.0,0.0,0.15760869565217392
2022-12-19,0.167062818336163,0.0,0.014940577249575551,0.28183361629881154,0.0,0.12427843803056027,0.044142614601018676,0.19898132427843804,0.0,0.0,0.02275042444821732,0.0,0.0,0.1460101867572156
2022-12-26,0.09875813128326434,0.05949142519219396,0.0,0.24541691306918983,0.012418687167356593,0.12123004139562389,0.029272619751626257,0.06800709639266705,0.14606741573033707,0.0,0.0,0.0,0.0,0.21933767001774096
2023-01-02,0.06270748801180376,0.0,0.09640617589713864,0.0,0.002634768403857301,0.0,0.03794066501554513,0.011856457817357854,0.0,0.0,0.0,0.6586921009643252,0.022659008273172788,0.10710333561679929
2023-01-09,0.3485254691689008,0.0,0.12064343163538874,0.0,0.0,0.0,0.26005361930294907,0.0,0.0,0.0,0.0,0.0,0.0,0.2707774798927614
2023-01-16,0.054695849005797756,0.0,0.43091072795967655,0.06984239180740329,0.21484529489477358,0.0,0.0,0.0,0.04964700140526258,0.053012899805619365,0.0,0.0,0.04339484512659985,0.08365098999486699
2023-01-23,0.1289170963903213,0.21757239190797303,0.044625148750495836,0.0,0.02479174930583102,0.12098373661245537,0.09222530741769139,0.0,0.0,0.0,0.046112653708845694,0.0,0.0,0.3247719159063864
2023-01-30,0.07228915662650602,0.3118355776045358,0.0963855421686747,0.0,0.0,0.08646350106307583,0.0,0.0,0.0,0.0892983699503898,0.0,0.0,0.05527994330262225,0.2884479092841956
2023-02-06,0.0,0.0,0.18913454308995956,0.08433073906240475,0.26843591879864254,0.06197801304586373,0.0,0.0,0.0,0.0,0.0,0.0,0.14042592103391516,0.2556948649692142
2023-02-13,0.37479806138933763,0.0,0.2197092084006462,0.0,0.051696284329563816,0.09854604200323101,0.1890145395799677,0.0,0.0,0.0,0.009693053311793215,0.0,0.0,0.05654281098546042
2023-02-20,0.12232415902140673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8776758409785933
2023-02-27,0.06132756132756133,0.0,0.017316017316017316,0.2994227994227994,0.0,0.04401154401154401,0.0,0.08513708513708514,0.0,0.0,0.03391053391053391,0.0,0.0,0.4588744588744589
2023-03-06,0.0,0.0,0.5051015149953622,0.0,0.07557799993129272,0.0,0.09399154900546222,0.06011886358171012,0.05104950358995499,0.0,0.0,0.0,0.10866055171939948,0.10550001717681816
2023-03-13,0.16006058206977264,0.0,0.14973409290398088,0.0,0.04704289508860702,0.03499532439518327,0.11014921776844569,0.0,0.02352144754430351,0.03786379360790321,0.09012156572523507,0.0,0.0,0.34651108089656874
2023-03-20,0.0,0.49006864153611096,0.051310118355339676,0.0,0.20446512052176688,0.0,0.0,0.0,0.0,0.07525484025449819,0.0,0.0,0.04463980296914551,0.13426147636313882
