etapa,origen,fecha_objetivo,horizonte,entrenamiento_inicio,ultima_etiqueta_entrenamiento,n_entrenamiento_observado,objetivo_observado,motivo
validacion_interna,2024-11-18,2024-11-18,1,2023-11-20,2024-06-03,21,False,semana_incierta
validacion_interna,2024-11-18,2024-11-25,2,2023-11-20,2024-06-03,21,False,semana_incierta
validacion_interna,2024-11-18,2024-12-02,3,2023-11-20,2024-06-03,21,False,semana_incierta
validacion_interna,2024-11-18,2024-12-09,4,2023-11-20,2024-06-03,21,False,semana_incierta
validacion_interna,2024-12-09,2024-12-09,1,2023-12-11,2024-06-03,18,False,semana_incierta
validacion_interna,2024-12-09,2024-12-16,2,2023-12-11,2024-06-03,18,False,semana_incierta
validacion_interna,2024-12-09,2024-12-23,3,2023-12-11,2024-06-03,18,False,semana_incierta
validacion_interna,2024-12-09,2024-12-30,4,2023-12-11,2024-06-03,18,False,semana_incierta
validacion_interna,2024-12-30,2024-12-30,1,2024-01-01,2024-06-03,15,False,semana_incierta
validacion_interna,2024-12-30,2025-01-06,2,2024-01-01,2024-06-03,15,False,semana_incierta
validacion_interna,2024-12-30,2025-01-13,3,2024-01-01,2024-06-03,15,False,semana_incierta
validacion_interna,2024-12-30,2025-01-20,4,2024-01-01,2024-06-03,15,False,semana_incierta
validacion_interna,2025-01-20,2025-01-20,1,2024-01-22,2024-06-03,12,False,semana_incierta
validacion_interna,2025-01-20,2025-01-27,2,2024-01-22,2024-06-03,12,False,semana_incierta
validacion_interna,2025-01-20,2025-02-03,3,2024-01-22,2024-06-03,12,False,semana_incierta
validacion_interna,2025-01-20,2025-02-10,4,2024-01-22,2024-06-03,12,False,semana_incierta
validacion_interna,2025-02-10,2025-02-10,1,2024-02-12,2024-06-03,10,False,semana_incierta
validacion_interna,2025-02-10,2025-02-17,2,2024-02-12,2024-06-03,10,False,semana_incierta
validacion_interna,2025-02-10,2025-02-24,3,2024-02-12,2024-06-03,10,False,semana_incierta
validacion_interna,2025-02-10,2025-03-03,4,2024-02-12,2024-06-03,10,False,semana_incierta
evaluacion,2025-07-07,2025-07-07,1,2024-07-08,2025-06-30,8,True,
evaluacion,2025-07-07,2025-07-14,2,2024-07-08,2025-06-30,8,True,
evaluacion,2025-07-07,2025-07-21,3,2024-07-08,2025-06-30,8,True,
evaluacion,2025-07-07,2025-07-28,4,2024-07-08,2025-06-30,8,True,
