fecha,descripcion,importe_nominal,registro_id,descripcion_normalizada,es_sintetico,motivo,semana_inicio
2021-01-11,HARINA,153.19,2,HARINA,False,,2021-01-11
2021-01-11,AZUCAR,113.24,3,AZUCAR,False,,2021-01-11
2021-01-11,MANTEQUILLA,66.61,4,MANTEQUILLA,False,,2021-01-11
2021-01-18,HARINA,159.68,5,HARINA,False,,2021-01-18
2021-01-18,AZUCAR,112.24,6,AZUCAR,False,,2021-01-18
2021-01-18,MANTEQUILLA,67.98,7,MANTEQUILLA,False,,2021-01-18
2021-01-25,HARINA,178.81,8,HARINA,False,,2021-01-25
2021-01-25,AZUCAR,119.64,9,AZUCAR,False,,2021-01-25
2021-01-25,MANTEQUILLA,74.61,10,MANTEQUILLA,False,,2021-01-25
2021-02-01,HARINA,182.35,11,HARINA,False,,2021-02-01
2021-02-01,AZUCAR,116.36,12,AZUCAR,False,,2021-02-01
2021-02-01,MANTEQUILLA,74.68,13,MANTEQUILLA,False,,2021-02-01
2021-02-08,HARINA,160.9,14,HARINA,False,,2021-02-08
2021-02-08,AZUCAR,98.2,15,AZUCAR,False,,2021-02-08
2021-02-08,MANTEQUILLA,64.77,16,MANTEQUILLA,False,,2021-02-08
2021-02-15,HARINA,155.26,17,HARINA,False,,2021-02-15
2021-02-15,AZUCAR,90.93,18,AZUCAR,False,,2021-02-15
2021-02-15,MANTEQUILLA,61.55,19,MANTEQUILLA,False,,2021-02-15
2021-02-22,HARINA,152.23,20,HARINA,False,,2021-02-22
2021-02-22,AZUCAR,85.91,21,AZUCAR,False,,2021-02-22
2021-02-22,MANTEQUILLA,59.54,22,MANTEQUILLA,False,,2021-02-22
2021-03-01,HARINA,138.86,23,HARINA,False,,2021-03-01
2021-03-01,AZUCAR,75.88,24,AZUCAR,False,,2021-03-01
2021-03-01,MANTEQUILLA,53.68,25,MANTEQUILLA,False,,2021-03-01
2021-03-08,HARINA,134.3,26,HARINA,False,,2021-03-08
2021-03-08,AZUCAR,71.45,27,AZUCAR,False,,2021-03-08
2021-03-08,MANTEQUILLA,51.44,28,MANTEQUILLA,False,,2021-03-08
2021-03-15,HARINA,128.96,29,HARINA,False,,2021-03-15
2021-03-15,AZUCAR,67.2,30,AZUCAR,False,,2021-03-15
2021-03-15,MANTEQUILLA,49.04,31,MANTEQUILLA,False,,2021-03-15
2021-03-22,HARINA,146.74,32,HARINA,False,,2021-03-22
2021-03-22,AZUCAR,75.4,33,AZUCAR,False,,2021-03-22
2021-03-22,MANTEQUILLA,55.53,34,MANTEQUILLA,False,,2021-03-22
2021-03-29,HARINA,158.65,35,HARINA,False,,2021-03-29
2021-03-29,AZUCAR,80.91,36,AZUCAR,False,,2021-03-29
2021-03-29,MANTEQUILLA,59.89,37,MANTEQUILLA,False,,2021-03-29
2021-04-12,HARINA,184.88,38,HARINA,False,,2021-04-12
2021-04-12,AZUCAR,94.86,39,AZUCAR,False,,2021-04-12
2021-04-12,MANTEQUILLA,69.94,40,MANTEQUILLA,False,,2021-04-12
2021-04-19,HARINA,202.85,41,HARINA,False,,2021-04-19
2021-04-19,AZUCAR,105.48,42,AZUCAR,False,,2021-04-19
2021-04-19,MANTEQUILLA,77.08,43,MANTEQUILLA,False,,2021-04-19
2021-04-26,HARINA,203.44,44,HARINA,False,,2021-04-26
2021-04-26,AZUCAR,107.9,45,AZUCAR,False,,2021-04-26
2021-04-26,MANTEQUILLA,77.83,46,MANTEQUILLA,False,,2021-04-26
2021-05-03,HARINA,192.34,47,HARINA,False,,2021-05-03
2021-05-03,AZUCAR,104.69,48,AZUCAR,False,,2021-05-03
2021-05-03,MANTEQUILLA,74.26,49,MANTEQUILLA,False,,2021-05-03
2021-05-10,HARINA,190.15,50,HARINA,False,,2021-05-10
2021-05-10,AZUCAR,106.82,51,AZUCAR,False,,2021-05-10
2021-05-10,MANTEQUILLA,74.24,52,MANTEQUILLA,False,,2021-05-10
2021-05-17,HARINA,167.5,53,HARINA,False,,2021-05-17
2021-05-17,AZUCAR,97.58,54,AZUCAR,False,,2021-05-17
2021-05-17,MANTEQUILLA,66.27,55,MANTEQUILLA,False,,2021-05-17
2021-05-24,HARINA,162.4,56,HARINA,False,,2021-05-24
2021-05-24,AZUCAR,98.55,57,AZUCAR,False,,2021-05-24
2021-05-24,MANTEQUILLA,65.24,58,MANTEQUILLA,False,,2021-05-24
2021-05-31,HARINA,142.5,59,HARINA,False,,2021-05-31
2021-05-31,AZUCAR,90.39,60,AZUCAR,False,,2021-05-31
2021-05-31,MANTEQUILLA,58.22,61,MANTEQUILLA,False,,2021-05-31
2021-06-07,HARINA,131.99,62,HARINA,False,,2021-06-07
2021-06-07,AZUCAR,87.75,63,AZUCAR,False,,2021-06-07
2021-06-07,MANTEQUILLA,54.94,64,MANTEQUILLA,False,,2021-06-07
2021-06-14,HARINA,125.67,65,HARINA,False,,2021-06-14
2021-06-14,AZUCAR,87.75,66,AZUCAR,False,,2021-06-14
2021-06-14,MANTEQUILLA,53.35,67,MANTEQUILLA,False,,2021-06-14
2021-06-21,HARINA,138.98,68,HARINA,False,,2021-06-21
2021-06-21,AZUCAR,102.05,69,AZUCAR,False,,2021-06-21
2021-06-21,MANTEQUILLA,60.26,70,MANTEQUILLA,False,,2021-06-21
2021-06-28,HARINA,138.9,71,HARINA,False,,2021-06-28
2021-06-28,AZUCAR,107.31,72,AZUCAR,False,,2021-06-28
2021-06-28,MANTEQUILLA,61.55,73,MANTEQUILLA,False,,2021-06-28
2021-07-12,HARINA,156.74,74,HARINA,False,,2021-07-12
2021-07-12,AZUCAR,133.86,75,AZUCAR,False,,2021-07-12
2021-07-12,MANTEQUILLA,72.65,76,MANTEQUILLA,False,,2021-07-12
2021-07-19,HARINA,163.35,77,HARINA,False,,2021-07-19
2021-07-19,AZUCAR,146.37,78,AZUCAR,False,,2021-07-19
