origen,fecha_objetivo,horizonte,insumo_id,participacion,importe,total_redondeado
2022-10-03,2022-10-03,1,HARINA,0.3718518819868302,138.0,371.12
2022-10-03,2022-10-03,1,AZUCAR,0.42814267662087485,158.89,371.12
2022-10-03,2022-10-03,1,MANTEQUILLA,0.2000054413922949,74.23,371.12
2022-10-03,2022-10-03,1,otros,0.0,0.0,371.12
2022-10-03,2022-10-10,2,HARINA,0.3718518819868302,150.58,404.95000000000005
2022-10-03,2022-10-10,2,AZUCAR,0.42814267662087485,173.38,404.95000000000005
2022-10-03,2022-10-10,2,MANTEQUILLA,0.2000054413922949,80.99,404.95000000000005
2022-10-03,2022-10-10,2,otros,0.0,0.0,404.95000000000005
2022-10-03,2022-10-17,3,HARINA,0.3718518819868302,138.58,372.68
2022-10-03,2022-10-17,3,AZUCAR,0.42814267662087485,159.56,372.68
2022-10-03,2022-10-17,3,MANTEQUILLA,0.2000054413922949,74.54,372.68
2022-10-03,2022-10-17,3,otros,0.0,0.0,372.68
2022-10-03,2022-10-24,4,HARINA,0.3718518819868302,135.77,365.13
2022-10-03,2022-10-24,4,AZUCAR,0.42814267662087485,156.33,365.13
2022-10-03,2022-10-24,4,MANTEQUILLA,0.2000054413922949,73.03,365.13
2022-10-03,2022-10-24,4,otros,0.0,0.0,365.13
2022-10-24,2022-10-24,1,HARINA,0.38295120973321617,150.5,393.01
2022-10-24,2022-10-24,1,AZUCAR,0.417052595529043,163.91,393.01
2022-10-24,2022-10-24,1,MANTEQUILLA,0.19999619473774094,78.6,393.01
2022-10-24,2022-10-24,1,otros,0.0,0.0,393.01
2022-10-24,2022-10-31,2,HARINA,0.38295120973321617,160.58,419.32000000000005
2022-10-24,2022-10-31,2,AZUCAR,0.417052595529043,174.88,419.32000000000005
2022-10-24,2022-10-31,2,MANTEQUILLA,0.19999619473774094,83.86,419.32000000000005
2022-10-24,2022-10-31,2,otros,0.0,0.0,419.32000000000005
2022-10-24,2022-11-07,3,HARINA,0.38295120973321617,176.95,462.06999999999994
2022-10-24,2022-11-07,3,AZUCAR,0.417052595529043,192.71,462.06999999999994
2022-10-24,2022-11-07,3,MANTEQUILLA,0.19999619473774094,92.41,462.06999999999994
2022-10-24,2022-11-07,3,otros,0.0,0.0,462.06999999999994
2022-10-24,2022-11-14,4,HARINA,0.38295120973321617,161.3,421.21000000000004
2022-10-24,2022-11-14,4,AZUCAR,0.417052595529043,175.67,421.21000000000004
2022-10-24,2022-11-14,4,MANTEQUILLA,0.19999619473774094,84.24,421.21000000000004
2022-10-24,2022-11-14,4,otros,0.0,0.0,421.21000000000004
2022-11-14,2022-11-14,1,HARINA,0.40223826073946717,159.94,397.64
2022-11-14,2022-11-14,1,AZUCAR,0.397764036788579,158.17,397.64
2022-11-14,2022-11-14,1,MANTEQUILLA,0.19999770247195375,79.53,397.64
2022-11-14,2022-11-14,1,otros,0.0,0.0,397.64
2022-11-14,2022-11-21,2,HARINA,0.40223826073946717,161.36,401.15000000000003
2022-11-14,2022-11-21,2,AZUCAR,0.397764036788579,159.56,401.15000000000003
2022-11-14,2022-11-21,2,MANTEQUILLA,0.19999770247195375,80.23,401.15000000000003
2022-11-14,2022-11-21,2,otros,0.0,0.0,401.15000000000003
2022-11-14,2022-11-28,3,HARINA,0.40223826073946717,171.63,426.68
