semana_inicio,harina,azucar,total
2021-05-03,120.0,80.0,200.0
2021-05-10,123.38884751105425,82.25923167403619,205.64807918509044
2021-05-17,126.59310646325042,84.39540430883363,210.98851077208406
2021-05-24,129.43966512028,86.29311008018668,215.73277520046668
2021-05-31,131.77765181769476,87.85176787846319,219.62941969615795
2021-06-07,133.48781543226704,88.9918769548447,222.47969238711173
2021-06-14,134.48993983924865,89.65995989283243,224.14989973208108
2021-06-21,134.74783136248723,89.8318875749915,224.57971893747873
2021-06-28,,,
2021-07-05,,,
2021-07-12,131.3816657292475,87.58777715283166,218.96944288207914
2021-07-19,129.19993190462796,86.13328793641865,215.33321984104663
2021-07-26,126.73344009671841,84.48896006447895,211.22240016119736
2021-08-02,124.1616583856387,82.77443892375913,206.93609730939784
2021-08-09,121.67060126772456,81.11373417848306,202.78433544620762
2021-08-16,119.44126417509186,79.62750945006125,199.0687736251531
2021-08-23,,,
2021-08-30,116.40012770125699,77.60008513417134,194.00021283542833
2021-09-06,115.82963858801882,77.21975905867923,193.04939764669805
2021-09-13,115.98848653229545,77.32565768819698,193.31414422049244
2021-09-20,116.89290870404233,77.9286058026949,194.82151450673723
2021-09-27,118.51278607888088,79.00852405258726,197.52131013146814
2021-10-04,120.7735160931553,80.51567739543687,201.28919348859216
2021-10-11,123.56065107000889,82.37376738000593,205.93441845001482
2021-10-18,126.72701402161289,84.48467601440859,211.21169003602148
2021-10-25,130.10184940142932,86.73456626761956,216.83641566904888
2021-11-01,133.50143985705378,89.00095990470253,222.5023997617563
2021-11-08,136.7405288853674,91.16035259024494,227.90088147561235
2021-11-15,139.64383918462548,93.09589278975032,232.7397319743758
2021-11-22,142.05697054813805,94.70464703209205,236.7616175802301
2021-11-29,,,
2021-12-06,144.9551853493341,96.63679023288941,241.5919755822235
2021-12-13,145.3122989594806,96.87486597298707,242.18716493246765
2021-12-20,144.9312505228721,96.62083368191473,241.5520842047868
2021-12-27,143.8618453514819,95.90789690098794,239.76974225246983
2022-01-03,142.19668744505032,94.79779163003354,236.99447907508386
2022-01-10,140.06542182290107,93.37694788193406,233.44236970483513
2022-01-17,137.62667382456522,91.75111588304348,229.37778970760868
2022-01-24,135.05818655445827,90.03879103630553,225.0969775907638
2022-01-31,132.5457696765327,88.36384645102181,220.90961612755453
2022-02-07,130.27174666932757,86.84783111288505,217.11957778221262
2022-02-14,,,
2022-02-21,127.08365088033995,84.72243392022665,211.8060848005666
2022-02-28,126.42002558495186,84.28001705663458,210.70004264158644
2022-03-07,126.48011752139156,84.32007834759439,210.80019586898595
2022-03-14,127.28630402986487,84.85753601990992,212.14384004977478
2022-03-21,128.81457390373885,85.87638260249258,214.69095650623143
2022-03-28,130.99602029007394,87.33068019338265,218.3267004834566
2022-04-04,133.72112498399477,89.14741665599652,222.8685416399913
2022-04-11,136.84656774022648,91.23104516015098,228.07761290037746
2022-04-18,140.20413723178558,93.4694248211904,233.673562052976
2022-04-25,143.6111896155736,95.74079307704908,239.35198269262267
2022-05-02,146.8820044419197,97.92133629461313,244.80334073653282
2022-05-09,149.83933185261884,99.89288790174591,249.73221975436476
2022-05-16,152.32541311861945,101.55027541241299,253.87568853103244
2022-05-23,154.21178931370352,102.80785954246902,257.0196488561725
2022-05-30,,,
2022-06-06,155.86369321359314,103.90912880906211,259.77282202265525
2022-06-13,155.57874066629617,103.71916044419746,259.2979011104936
2022-06-20,154.59626116145634,103.06417410763757,257.6604352690939
2022-06-27,153.0034540818854,102.00230272125694,255.00575680314233
2022-07-04,150.92546602291844,100.61697734861231,251.54244337153077
2022-07-11,148.51760978325356,99.01173985550238,247.52934963875595
2022-07-18,145.9557077673739,97.30380517824928,243.2595129456232
2022-07-25,143.4251602000192,95.61677346667949,239.0419336666987
2022-08-01,141.10941783818268,94.07294522545513,235.1823630636378
2022-08-08,139.17857589157052,92.78571726104701,231.96429315261753
2022-08-15,137.77879832630512,91.85253221753676,229.6313305438419
2022-08-22,137.02323009744532,91.34882006496355,228.37205016240887
2022-08-29,136.9849623436894,91.32330822912627,228.30827057281567
2022-09-05,137.69248793438211,91.79499195625475,229.48747989063685
2022-09-12,139.12792992090175,92.75195328060119,231.87988320150293
2022-09-19,,,
2022-09-26,143.88868915245772,95.92579276830516,239.8144819207629
2022-10-03,146.97023257836466,97.9801550522431,244.95038763060776
2022-10-10,150.30730143721382,100.20486762480922,250.51216906202305
2022-10-17,153.7185265159554,102.47901767730362,256.19754419325903
2022-10-24,157.01792792695653,104.67861861797104,261.69654654492757
2022-10-31,160.0264784366352,106.6843189577568,266.710797394392
2022-11-07,162.58323451174024,108.38882300782684,270.9720575195671
2022-11-14,164.55534300873154,109.70356200582103,274.25890501455257
2022-11-21,165.84630133878142,110.56420089252094,276.41050223130236
2022-11-28,166.40195753134557,110.93463835423039,277.33659588557595
2022-12-05,166.21387714141045,110.80925142760698,277.02312856901744
2022-12-12,165.31986766243267,110.21324510828845,275.5331127707211
2022-12-19,163.8016278395136,109.20108522634241,273.002713065856
2022-12-26,161.77966803713034,107.85311202475357,269.6327800618839
2023-01-02,159.40581748835498,106.27054499223667,265.67636248059165
2023-01-09,,,
2023-01-16,154.308355067168,102.87223671144534,257.18059177861335
2023-01-23,151.9539058504739,101.30260390031593,253.2565097507898
2023-01-30,149.96293845290043,99.97529230193362,249.93823075483405
2023-02-06,148.48535514989794,98.99023676659863,247.47559191649657
2023-02-13,147.63913848045175,98.42609232030118,246.06523080075294
2023-02-20,147.50301566424724,98.33534377616485,245.8383594404121
2023-02-27,148.1115637244589,98.74104248297262,246.85260620743153
2023-03-06,,,
2023-03-13,151.47020930480673,100.98013953653783,252.45034884134458
2023-03-20,154.06370964161852,102.70913976107903,256.77284940269755
2023-03-27,157.09842294259062,104.7322819617271,261.8307049043177
2023-04-03,160.4117789988267,106.94118599921781,267.3529649980445
2023-04-10,163.82388294449237,109.21592196299491,273.0398049074873
2023-04-17,,,
2023-04-24,170.20562343945303,113.47041562630203,283.67603906575505
2023-05-01,172.83070140575524,115.22046760383682,288.05116900959206
2023-05-08,174.8868330793496,116.59122205289974,291.4780551322493
2023-05-15,176.272291717247,117.51486114483133,293.7871528620783
2023-05-22,176.92704977746587,117.95136651831058,294.87841629577645
2023-05-29,,,
2023-06-05,,,
